s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,member
https://golemlab.eu/graph/10867953,2762,BTS Scenario/Oneshot Collection,"a collection of bts scenarios. 🌷 if you enjoy my writing, please check out and support my music edits on spotify, apple music, youtube, etc. with the links below ♡ https://linktr.ee/hobismorning",2020-10-25,179080.0,Explicit,F/M,In-Progress,& blurbs | College!AU | Drabbles | Dry Humping | NSFW | Scenarios | Skype Sex | Some Fluff | collection of oneshots | lots of smut,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Reader, Kim Namjoon | Rap Monster/Reader, Kim Seokjin | Jin/Reader, Kim Taehyung | V/Reader, Min Yoongi | Suga/Reader, Park Jimin/Reader",jungkook
https://golemlab.eu/graph/10952706,2060,Don't talk to the neighbours,"BTS are forced to relocate where they live as fans find out their old address, so a rule is set for their next home, so that their location can keep a secret- ""Don't talk to the neighbours"" Luckily (or unluckily) the next door neighbour is cute, and she cant talk. So... Min Yoongi isn't necessarily breaking the rules. _ Lowkey soulmate au",2017-05-20,48348.0,Not Rated,F/M,Completed,Angst | Deaf Character | Disability | Fluff and Angst | Muteness | Neighbors | Reader-Insert | Soulmates | bts neighbors | bts neighbours | deaf character bts,Min Yoongi | Suga/Reader,yoongi
https://golemlab.eu/graph/13642632,2037,w e  a r e  a l l  m a d  h e r e,"In which you're a model student who just managed to catch not just one, not two, but all seven 'transfer students' who just happened to visit your university. At the end of the road, will you stay or will you run? Or... ≪ Yandere!BTS x female reader ≫ Reader discretion is advised. If you are not ready for dark content, please please PLEASE do not read. Your mental health comes first ♡ Probably a lot of grammar mistakes and a lot of loopholes. Expect cliche and cheesy scenes. This story is written for self-enjoyment and is a byproduct of fantasy and nothing more. [Find Extra Contents Here!]",2018-02-11,66380.0,Mature,F/M,In-Progress,Abuse | Blood and Gore | Choose Your Own Ending | Dark | Death | Depression | Fiction | Implied/Referenced Self-Harm | Kidnapping | Mild Sexual Content | Mind Manipulation | Possessive Behavior | Reader-Insert | Romance | Slow Build | Stockholm Syndrome | Unhealthy Relationships | Violence | Yandere,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Reader, Kim Namjoon | RM/Reader, Kim Seokjin | Jin/Reader, Kim Taehyung | V/Reader, Min Yoongi | Suga/Reader, OT7/Reader, Park Jimin/Reader",jungkook
https://golemlab.eu/graph/11405238,1802,Your Scent,Nothing could have prepared you for the shit storm that was your junior year of college. Discovering you were an omega was only the first discovery in a long line of complicated ones. Thank goodness Min Yoongi was there to help. A story about college and discovering what you like and don't like in both romantic relationships and friendships.,2017-07-05,48812.0,Explicit,Multi,In-Progress,AU College | Alpha/Beta/Omega Dynamics | Alpha/Omega | Alternate Universe - College/University | Angst | I Don't Even Know | Knotting | Mating Cycles/In Heat | Non-Traditional Alpha/Beta/Omega Dynamics | Shameless Smut | Smut | Too many kinky things to tag | mixed race female| reader | trust me when I say things get complicated | western|reader,"Jeon Jungkook/Reader, Mark Tuan/Reader, Min Yoongi | Suga/Reader, Park Jimin (BTS)/Reader, Reader/Everyone",jungkook
https://golemlab.eu/graph/10435611,1755,"My Cheating, Amnesic Fiancé","In which you (reader) and Jeon Jungkook are engaged due to an arrangement made by both of your parents. Though neither of you especially like each other, you never thought you would find yourself in a relationship with a cheater. To top that off, destiny decides to make an entrance (in the form of a hard hit to a pretty skull) and Jungkook suffers amnesia, which only you seem to be able to handle. What will happen? Will you stay with him and help him through his predicament even though he loves someone else? Or should you simply let him go? Follow me on Twitter, @AW_Collins! Read original work from me on Wattpad, @Wrienne! Currently working on The Winter King !",2017-03-25,167244.0,Teen And Up Audiences,F/M,Completed,Amnesia | Angst | Arranged Marriage | Drama | Implied/Referenced Suicide | Past Child Abuse | Reader-Insert | References to Depression | Romance | Suicide Attempt,Jeon Jungkook/Reader Series: My Cheating Amnesic Fiancé Series [1],jungkook
https://golemlab.eu/graph/17714183,1678,Owner Training,A stray hybrid has claimed you and you're not quite sure who the owner is here. (AKA The one where Yoongi breaks into your house and says he lives there now),2019-02-09,23157.0,Explicit,F/M,Completed,Alternate Universe - Hybrid | Cat Hybrid Min Yoongi | Suga | Cat/Human Hybrids | Dog Hybrid Kim Taehyung | V | Fluff | Hybrid Min Yoongi | Suga | Hybrids | Implied though - Freeform | Min Yoongi | Suga Is a Little Shit | Min Yoongi | Suga Needs a Hug | Now with smut! | One Shot Collection | Recreational Drug Use | Sassy Min Yoongi | Suga | Unprotected Sex | Yoongi goes into heat | Yoongi's just on the nip | impreg kink | side vmin - Freeform,Min Yoongi | Suga/Reader Series: How To Train Your Owner [1],yoongi
https://golemlab.eu/graph/17704340,1618,Ethereal Orbit,"**** THIS WILL BE DELETED SOON! READ LAST CHAPTER FOR MORE INFO**** ""The stars whispered your name to me. y/n, a celestial that would fall from the darkness, appearing in front of me. I am not to harm you."" He leans down, eyes probing yours. ""What are you? Do you come from a different cosmo?"" ""Human,"" you breathe shakily. He leans closer, his nose almost touching yours. He sniffs once, scrunching up his face. It changed colors when you continued to stare at him, almost shining in the dark sky. He tilts his head, blinking rapidly. ""Human?"" **** THIS WILL BE DELETED SOON! READ LAST CHAPTER FOR MORE INFO****",2019-02-08,177373.0,Explicit,F/M,Completed,Aftermath of Torture | Alien Biology | Alien Planet | Alien Sex | Alternate Universe - Aliens | Angst | Blood | Blood and Torture | Blood and Violence | Character Death | Child Abuse | Childhood Trauma | Declarations Of Love | Explicit Sexual Content | Fluff and Angst | Fluff and Humor | Fluff and Smut | Implied/Referenced Character Death | Implied/Referenced Child Abuse | Implied/Referenced Dubious Consent | Implied/Referenced Torture | Magic Fingers | Mildly Dubious Consent | Near Death Experiences | OT7 | Other Additional Tags to Be Added | Other Ships Not Mentioned in Tags | Past Child Abuse | Past Torture | Polyamory | Psychological Torture | Slow Build | Slow Burn | Tentacles | Torture | please pay attention to the tags | they are important if you are triggered by any of these,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Reader, Kim Namjoon | RM/Reader, Kim Seokjin | Jin/Reader, Kim Taehyung | V/Reader, Min Yoongi | Suga/Reader, Park Jimin (BTS)/Reader Series: Utepnia Chronicles [1]",jungkook
https://golemlab.eu/graph/15091250,1583,"Oh, Little Red","You knew they warned you about that path for a reason, you knew you shouldn’t take it as a shortcut. You knew, but you were running late, and you did it anyway. Oh, little red, just what have you gotten yourself into?",2018-06-29,13376.0,Explicit,F/M,Completed,Accidental Bondage | Alternate Universe - Little Red Riding Hood Fusion | Alternate Universe - Werewolf | Alternate Universe - Wolves | Blowjobs | Creampie | Cum Play | Cunnilingus | Dirty Talk | FUCK | Forgive Me | Hybrids | Impregnation Kink | Jesus - Freeform | Knotting | Multiple Orgasms | Shameless Smut | Sloppy Seconds | Smut | There's a lot of cum | Threesome - F/M/M | Vaginal Fingering | Werewolf Min Yoongi | Suga | Werewolf Park Jimin | Wolf AU | cum kink | its like | lmaoo | oh jesus here we go | oh right | slight degradation | they fuck in a forest i am so sorry,"Min Yoongi | Suga/Reader, Park Jimin (BTS)/Reader, Park Jimin (BTS)/Reader/Min Yoongi | Suga",yoongi
https://golemlab.eu/graph/9367868,1572,Muse // Jungkook X Reader,Jeon Jungkook is a famous painter hiding his identity beneath a pseudonym. Anonymously wandering around his gallery opening he sees you appraising a piece of art that he hates – a piece inspired by his previous lover. In a moment of weakness and awe he approaches you with one offer in mind. “Be my muse.”,2017-01-17,37367.0,Teen And Up Audiences,F/M,Completed,Complete | Fluff | Fluff and Angst | Painter!AU | Romance | Unresolved Romantic Tension,"Jeon Jungkook/Reader, Jeon Jungkook/You",jungkook
https://golemlab.eu/graph/23054470,1422,Little!Reader BTS Requests,Please see the most recent work in the series in order to make a request.,2020-03-07,207902.0,Explicit,F/M,Completed,ABDL | Age Play | Age Play Caregiver Jeon Jungkook | Age Play Caregiver Jung Hoseok | J-Hope | Age Play Caregiver Kim Namjoon | RM | Age Play Caregiver Kim Seokjin | Jin | Age Play Caregiver Kim Taehyung | V | Age Play Caregiver Min Yoongi | Suga | Age Play Caregiver Park Jimin (BTS) | Age Play Little Kim Taehyung | V | Age Regression/De-Aging | Anxiety | Anxiety Attacks | Attempted Sexual Assault | Bathtubs | Bed-Wetting | Canon Universe | Comfort | Crying | Diapers | Domestic | Domestic Fluff | Eating Disorders | Emotional Hurt/Comfort | Fluff | Hugs | Hurt/Comfort | Implied Sexual Content | Implied/Referenced Child Abuse | Implied/Referenced Self-Harm | Infantilism | Menstruation | Minor Injuries | Nightmares | Non-Sexual Age Play | Oral Sex | Platonic Cuddling | Platonic Kissing | Punishment | Reader-Insert | References to Depression | Safeword Use | Safewords | Seizures | Self-Harm | Sex | Sickfic | Trans Character,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Reader, Kim Namjoon | RM/Reader, Kim Seokjin | Jin/Reader, Kim Taehyung | V/Reader, Min Yoongi | Suga/Reader, Park Jimin (BTS)/Reader Series: BTS Little!Reader Requests [1]",jungkook
