s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,member
https://golemlab.eu/graph/15667524,1174,tip 143 (for ∞ seconds of love),"Even though he is everything you find attractive in a man, your friend and co-worker Jung Hoseok is just exactly that - a friend and co-worker. For some reason, you have never found yourself attracted to him even though all the girls and guys around you go absolutely crazy for him. But that all changes for you one night while scrolling through Heart2Heart , a sex live cam website...",2018-08-13,87871.0,Explicit,F/M,Completed,Alternate Universe - College/University | Camboy Jung Hoseok | J-Hope | Camgirl Reader | Comedy | Cunnilingus | Degradation | Dirty Talk | Fluff | Friends to Lovers | Masturbation | Multiple Orgasms | Overstimulation | Smut | Vaginal Fingering,Jung Hoseok | J-Hope/Reader,hoseok
https://golemlab.eu/graph/15226815,765,Run Little Rabbit,"Jung Hoseok - the Alpha wolf of his pack and far out of your league. As a rabbit shifter who still jumps around predators, you fantasise about your dangerous crush from a safe distance, particularly as he doesn’t like you. But what happens when he goes into heat and you’re the only one he’ll accept?",2018-07-09,15323.0,Explicit,F/M,Completed,Biting | Creampie | Cumplay | Degradation | Degrading Talk | Dom Hoseok | Forced Orgasms | Impregnation Kink | Knotting | Overstimulation | Possessive Behaviour | Possessive Talk | Rough Sex | Shifter AU | Shifter Reader | Spanking | Squirting | Supernatural AU - Freeform | Wolf Shifter AU | rabbit shifter reader | sub Reader | wolf shifter hoseok,Jung Hoseok | J-Hope/Reader Series: Run Little Rabbit [1],hoseok
https://golemlab.eu/graph/18551245,581,Need,"Sometimes you find your mate, and sometimes you find three. Life is funny that way.",2019-04-21,8944.0,Mature,F/M,Completed,ABO Universe | Anal Sex | Blood | Creampie | Dirty Talk | Eventual Smut | Fluff | Foursome - F/M/M/M | Oral Sex | Possessive Behavior | Reader-Insert | Smut | Threesome - F/M/M | Vaginal Sex | alpha!bts | omega!reader,"Jung Hoseok | J-Hope/Reader, Kim Namjoon | RM/Reader, Min Yoongi | Suga/Reader",hoseok
https://golemlab.eu/graph/15019640,530,Feral,"hoseok, the asshole, wasn’t answering any of your calls or texts. as his best friend, it was your duty to go and check on him. little did you know, he had a VERY good reason for not answering.",2018-06-23,4091.0,Explicit,F/M,Completed,Alpha Jung Hoseok | J-Hope | Breeding | Dom Jung Hoseok | J-Hope | Impregnation Kink | Just lots of smut | Knotting | Mating | Mating Cycles/In Heat | Oral Sex | Rut | Smut | Werewolves | pretty much pwp,Jung Hoseok | J-Hope/Reader,hoseok
https://golemlab.eu/graph/15718185,519,By its cover,"Your annoying little brother Jimin accepts a dare and summons a demon into your living room. There are multiple problems with this. 1) Demons are the most hated species on earth. 2) That demon happens to be Jung Hoseok, the most popular guy on campus 3) The fact that Jung Hoseok is a demon is his biggest secret and 4) Jung Hoseok hates your guts. You’re in for a wild ride. Demon!Hoseok x witch!Reader Magic-university!au enemies-to-lovers!au",2018-08-18,38931.0,Teen And Up Audiences,F/M,Completed,Alternate Universe - Modern with Magic | Demon AU | Demon Summoning | Demons | Enemies to Friends to Lovers | Enemies to Lovers | Fluff | Magic University - Freeform | Some angst | Witch!Reader | demon!hoseok,Jung Hoseok | J-Hope/Reader,hoseok
https://golemlab.eu/graph/15019220,497,The Hills,"a ski trip with old friends sounds like a fun time, right? when your ex-boyfriend (who you hate but somehow always end up in bed with) and your stepbrother (who you are harboring not-so-secret feelings for) tag along at the last minute, you have a feeling it won’t be an uneventful weekend. but fun? debatable. that remains to be seen.",2018-06-23,52904.0,Explicit,F/M,Completed,Alternate Universe - College/University | Anal Play | Anal Sex | Comedy | Cum Play | Dirty Talk | Double Penetration | Light Angst | Masturbation | Public Sex | Sharing a Bed | Smut | Step-Sibling Incest | Threesome - F/M/M | Unprotected Sex | Voyeurism | but it's not creepy!! at least i don't think it is jdslajksk | in a washroom and also in a gondola ski lift jdkasdjsal | pretty much straight up porn with a sliver of plot | slight degradation | yoongi and hoseok are both doms,"Jung Hoseok | J-Hope/Reader, Min Yoongi | Suga/Reader",hoseok
https://golemlab.eu/graph/14252745,475,You Woke Me Up,Hoseok is your neighbor. He likes to have loud parties. You like to call the cops on him.,2018-04-08,6282.0,Explicit,F/M,Completed,Alternate Universe - Modern Setting | Dance Instructor Jung Hoseok | J-Hope | Dancer Jung Hoseok | J-Hope | Dom/sub | Enemies to Friends to Lovers | Masturbation | Oral Sex | Porn with Feelings | Sex | Smut,Jung Hoseok | J-Hope/Reader,hoseok
https://golemlab.eu/graph/18811375,469,Infatuation,A collection of drabbles and one-shots of the BTS boys being yandere messes.,2019-05-13,27680.0,Explicit,F/F,In-Progress,Gore | Knife Use | Murder | Pregnancy | Reader Insert | Sexual Harassment | Spanking | Violence | Yandere | Yandere BTS | Yandere Jimin | blood mention | chloroform use | daddy kink for one chapter | unhealthy relationship | violence in later chapters probably | yandere hoseok,"Jung Hoseok | J-Hope/Reader, Kim Namjoon | RM/Reader, Min Yoongi | Suga/Reader, Park Jimin (BTS)/Reader",hoseok
https://golemlab.eu/graph/8171422,429,Redemancy,"You were sure that saving his life wasn't something that needed to be repaid. He of course, did not agree.",2016-10-01,13130.0,Teen And Up Audiences,F/M,Completed,Alternate Universe - College/University | Fluff | slight slight angst,Jung Hoseok | J-Hope/Reader,hoseok
https://golemlab.eu/graph/21975991,421,Flower,"You finally decide to take a dip into the world of online dating and find the Flower dating app. One of the top matches for you proves to be a guy who looks to be your complete opposite; tattooed, pierced, a metalhead and oh…incredibly handsome. What happens when you throw caution to the wind and reach out to him?",2019-12-26,176806.0,Mature,F/M,Completed,Anal Sex | Anxiety | Blow Job | Depression | Dildos | Discussion of Death | Fingering | Kink Exploration | Mentions of car accident | Online Dating | Oral Sex | Panic Attack | Penetrative Sex | Self-Loathing | Sex Toys | Social Anxiety | antidepressants | anxiety attack | dating app au | lack of self confidence | lack of self esteem | metalhead hoseok | nerd reader | online dating au | shy reader | tattooed hoseok,Jung Hoseok | J-Hope/Reader Series: Flower [1],hoseok
