s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,member
https://golemlab.eu/graph/14127228,1335,STAGE FRIGHT,"You had made it, all the way from America...just to realize that you might've made a mistake somewhere. All you wanted was to make music. Compose and be the best producer the world had ever seen. What that had to do with dancing and rapping is really beyond you, but yet there you were...a brand new trainee.",2018-03-28,214636.0,Mature,F/M,In-Progress,Adopted Children | Adoption | Angst | Anxiety | Black Character(s) | Comedy | Dancing Lessons | Denial of Feelings | English | Female Character of Color | Fluff | Freeform | Kim Namjoon | RM is Bad at Feelings | Love Triangles | Min Yoongi | Suga is Bad at Feelings | Music | Other Additional Tags to Be Added | Plot | Producer Kim Namjoon | Rap Monster | Producer Min Yoongi | Suga | Roommates | Seonbae | Singing | Slow Burn | Trainee | Unconventional Families | ambw | everyone is bad at feelings | studio,"Kim Namjoon | RM/Reader, Kim Namjoon | RM/You, Min Yoongi | Suga/Reader, Min Yoongi | Suga/You",namjoon
https://golemlab.eu/graph/14147745,743,Just Let Me Love You,"You are a journalist and devoted member of ARMY who gets the assignment of a lifetime – interviewing BTS. You’ve been waiting in a hotel conference room all day for your 10 minutes with the guys. Finally, your name is called.",2018-03-30,34291.0,Explicit,F/M,Completed,Angst and Romance | Drunk Sex | Eventual Happy Ending | Eventual Romance | Flirting | Oral Sex | Sex,Kim Namjoon | RM/Reader,namjoon
https://golemlab.eu/graph/27910816,740,For the Books: An Unlikely Holiday Romance,Kim Namjoon begrudgingly agrees to be part of the local library's annual holiday date auction. You are duped into buying a ticket to the library's annual holiday date auction by your best friend. Both you and Namjoon are dreading the actual event. Neither of you expects what happens next.,2020-12-07,45925.0,Explicit,F/M,Completed,Alternate Universe - Library | Alternate Universe - Modern Setting | Christmas | Date Auction | Fluff and Smut | Happy Ending | Light Angst | Romantic Comedy | Shameless Smut,Kim Namjoon | RM/Reader,namjoon
https://golemlab.eu/graph/16206119,696,The Dragon's Lair,"You enter the ridiculously named 'The Fairy Pawmother,"" a hybrid shelter, with very low expectations. Instead, you meet a beautiful Dragon hybrid named Namjoon, gaining a family and so much more.",2018-10-06,31393.0,Explicit,F/M,In-Progress,Alternate Universe - Fantasy | Dragon Hybrid Namjoon | Fantasy Hybrids | Hybrid Jeon Jungkook | Hybrid Jung Hoseok | J-Hope | Hybrid Kim Seokjin | Jin | Hybrid Kim Taehyung | V | Hybrid Min Yoongi | Suga | Hybrid Park Jimin | Hybrids | extreme fluff | some smut,Kim Namjoon | RM/Reader,namjoon
https://golemlab.eu/graph/18448064,688,of heartstrings and hollow smiles (you're safe with me),"Namjoon is crying now, and your heart aches because no, Joonie, don’t cry for me, please , but you can’t will your mouth to open, the cotton in your veins and the fruit flies in your chest choking you up, restricting movement. Or so you thought. Before you can register your own actions, shaking fingertips brush against the soft cheek of the man crouching before you, as though he was a mirage and the slightest touch would cause him to flicker away into nothingness. “Joon.” “Shh, shh baby. I’m here, kid. I’ve got you. It’s okay, I’ll take you away from here.” --- or, the one where you and Namjoon always manage to find your way back to one another.",2019-04-13,147118.0,Mature,F/M,Completed,Abusive Relationships | Alternate Universe - College/University | Angst and Hurt/Comfort | Angst with a Happy Ending | But No Actual Suicide | Denial of Feelings | Eating Disorder Not Otherwise Specified | Emotional Manipulation | Flashbacks | Friends to Lovers | Happy Ending | Mentions of Suicide | Miscarriage | Nightmares | OT7 | Panic Attacks | Protective Bangtan Boys | Rape/Non-con Elements | Reader-Insert | Self-Doubt | Self-Esteem Issues | Sexual Content | Sexual Harrassment | Slow Burn | Slut Shaming | Sweet Kim Namjoon | RM | Victim Blaming | Violence | i love namjoon so much | the dream | the reader's parents are assholes | you sleep on namjoon's chest a lot,Kim Namjoon | RM/Reader,namjoon
https://golemlab.eu/graph/18180275,463,Safe With Me,"Failed relationships had become a very taxing sort of normal for you. After another boyfriend steps out of your life, much as all the rest before him, you considered just calling it quits where seeking love is concerned. At least until your longtime friend, Namjoon, confesses his hidden feelings and asks you to give him a chance. The prospect of a relationship with a guy as wonderful as Joon would have had you over the moon were it not for the fear that your issues with physical intimacy would send him packing like every other guy you’ve dated prior. But, maybe with Joon it might be different.",2019-03-20,171289.0,Explicit,F/M,Completed,Dirty Talk | Fluff and Angst | Friends to Lovers | Oral Sex | Past Sexual Abuse | Praise Kink | Romance | Smut | Vaginal Fingering | abuse is mentioned but not described in graphic detail | joon is a+ boyfriend material | protected and unprotected sex | seriously he's so sweet | the rest of the boys are great friends and will pop up on occasion,Kim Namjoon | RM/Reader Series: Safe With Me Series [1],namjoon
https://golemlab.eu/graph/20558381,407,Castaways,"You’ve always hated the ocean. Open water terrifies you, and you stay as far away from it as possible for self-preservation and peace of mind. Despite this, your friend somehow convinces you to go on a luxury cruise with her, her boyfriend Hoseok, and Hoseok’s nerdy friend Namjoon, who’s almost cute enough to distract you from your debilitating fears. When a sudden storm hits, however, you and Namjoon are swept overboard and find yourselves castaway on a desert island somewhere in the vast South Pacific.",2019-09-08,25417.0,Explicit,F/M,Completed,Biting | Breathplay | Castaways | Cumplay | Dirty Talk | Dom Kim Namjoon | RM | Fluff | Fucking in Water | Gentle Sex | Happy Ending | Huddling For Warmth | Just a Hint of a Daddy Kink | Just a pinch of angst | Massage | Non-Completed Foot Job in Public | Rough Sex | SO MUCH TEASING | SO SO MUCH dirty talk | Sex for All Seasons | Slow Burn | Smut | Soft Dom Kim Namjoon | RM | Stranded on an Island | Submissive Reader | Survival | This is a COMPLETE Oneshot | nursing back to health,"Kim Namjoon | RM/Reader, Kim Namjoon | RM/You",namjoon
https://golemlab.eu/graph/23471089,405,Pheromones,"As the botanist on a deep-space exploration vessel, you’ve seen your fair share of weird and unexplainable. This large pink alien flower you and your crew picked up on one of the outer terraformed mining planets, however, might just take the cake. You’re pretty sure it’s fine, but you’ve been ordered to study the plant and determine whether or not it’s safe for humans to be around, and you’re having trouble discerning what exactly is inside the alien flower’s bulb that just refuses to bloom. Namjoon — the captain of your ship and the man you’ve been secretly in love with since first joining the Galactic Academy — is eager to help you any way he can, but just as love begins to bloom, so does the alien flower.",2020-04-04,17634.0,Explicit,F/M,Completed,"Bondage I suppose | But Mostly Smut | Desperate Sex | Dry Humping | Fluff | Mutual Pining | Overstimulation | Sci Fi AU | Smut | Soft Dom Kim Namjoon | RM | Soft Dom Namjoon Gone Wild! | Soft Kim Namjoon | RM | Vaginal Fingering | dirty talk (no degradation) | drug mention but not drug use | sort of the ""fuck or die"" trope if you squint | spaceship au | spaceship captain!Namjoon x spaceship botanist!reader | technically exhibitionism as well","Kim Namjoon | RM/Reader, Kim Namjoon | RM/You",namjoon
https://golemlab.eu/graph/24277123,405,NJ-0912,"You had always wanted an android, someone to be your companion for life. So when you saw the rare sight of one on clearance you quickly snatched it up. What would soon follow would not only be your feelings for the robot start to grow, but also discovering the true nature of why he was on sale in the first place… Android!NamjoonxReader",2020-05-19,44419.0,Explicit,F/M,In-Progress,Alternate Universe - Robots & Androids | Androids | Angst | Choking | Dirty Talk | Fluff | Fluff and Angst | Fluff and Smut | Futuristic!AU | Oral Sex | Robot Sex | Robot/Human Relationships | Robots | Sex | Smut | Thriller | robot!au,Kim Namjoon | RM/Reader,namjoon
https://golemlab.eu/graph/11042325,385,Faith,"It's time to let yourself believe in someone. You're probably an idiot for it, but you're going to put your faith in this man named Namjoon. (AKA You fall in love with underground rapper Namjoon and make a difficult choice so he can follow his dreams)",2017-05-30,31269.0,Explicit,F/M,Completed,Angst | Babies | Basically love and hip hop in fic form | Childbirth | Dad Kim Namjoon | Drama | Emotional Hurt/Comfort | Fluff | Getting Back Together | Happy Ending | Implied/Referenced Cheating | Kim Namjoon | RM is a Sweetheart | Light Dom/sub | Pregnancy Kink | Rapper AU | Rapper Kim Namjoon | RM | Recreational Drug Use | Semi-Public Sex | Smut | Underground Rapper Kim Namjoon | Rap Monster | Unplanned Pregnancy | bts smut | impreg kink,"Kim Namjoon | RM/Reader, Kim Namjoon | Rap Monster/Original Character(s), Kim Namjoon | Rap Monster/Original Female Character(s), Kim Namjoon | Rap Monster/Reader",namjoon
