s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,member
https://golemlab.eu/graph/11852538,1045,Close to Normal,"Kim Taehyung finds himself staying in a hotel alone without the other members. There, he is drawn to a troubled girl who reminds him that he is just a man.",2017-08-20,73944.0,Mature,F/M,Completed,Adorable Kim Taehyung | V | Angst | Canon Compliant | Eventual Smut | Falling In Love | Fame | Fluff | Googles how to tag | Help | I Blame Tumblr | Idol Kim Taehyung | V | Implied Sexual Content | Kim Taehyung | V & Park Jimin are Best Friends | Kim Taehyung | V is a Sweetheart | Language Barrier | My First AO3 Post | My First Fanfic | Other Additional Tags to Be Added | Park Jimin Is a Sweetheart | Sexual Tension | Some humour if you squint,Kim Taehyung | V/Reader Series: Close to Normal [1],taehyung
https://golemlab.eu/graph/29358348,1031,Too Good To Be True,"Kim Taehyung is a world famous idol in the hit K-pop group, BTS, and you are his personal stylist. Per your contract with Big Hit, he is absolutely, 100% off-limits, and yet, you are completely and hopelessly in love with him. You’ve spent years trying to shove your feelings down, but it’s getting harder and harder to ignore and hide them, especially considering the way Tae always treats you. He’s affectionate and protective and sometimes outright flirtatious, but that’s how he is with everyone, right? Confused, frustrated, and lovesick, you find yourself wondering if it might finally be worth risking your career and your heart to find out.",2021-02-11,182705.0,Mature,F/M,In-Progress,Adorable Kim Taehyung | V | Angst | Angst with a Happy Ending | Big Hit Entertainment | Depression | Dom Kim Taehyung | V | Eventual Smut | Flirting | Fluff | Fluff and Angst | Friends to Lovers | Happy Ending | Kim Taehyung | V is Bad at Feelings | Kim Taehyung | V is a Tease | Kim Taehyung | V-centric | Kissing | Mutual Pining | Romance | Sex | Slow Burn | Smut | Sweet Kim Taehyung | V,"Kim Taehyung | V/Reader, Kim Taehyung | V/You",taehyung
https://golemlab.eu/graph/10745400,896,Please Let Me,"Your past relationships have made you cold, and your friend Taehyung wants to help make you warm again.",2017-04-27,23927.0,Explicit,F/M,Completed,Alcohol | Angst | Angst and Fluff and Smut | Best Friends | Body Worship | Cheating | Cunnilingus | Dirty Talk | Drunk Sex | Drunkenness | Fluff | Fluff and Angst | Fluff and Smut | Jealousy | Kim Taehyung | V is a Sweetheart | Kim Taehyung | V-centric | Male-Female Friendship | Multiple Orgasms | Oral Sex | Penis In Vagina Sex | Porn With Plot | Porn with Feelings | Reader-Insert | Reader-Interactive | Riding | Smut | Vaginal Sex,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/11997834,715,one good purr (deserves another),"Maybe it wasn't the best idea to visit Taehyung just before your heat. [Shifter au / fox!Taehyung, cat!Reader]",2017-09-04,31148.0,Mature,F/M,Completed,Alternate Universe | Fluff and Smut | Hybrids | Shifters,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/23259202,686,Snapped (Yandere Taehyung x Reader),"Your relationship with your boyfriend hasn't been going well lately. His twin, Kim Taehyung, decides to take advantage of this.",2020-03-22,21811.0,Explicit,F/M,In-Progress,Abortion mention | Daddy Kink | Dom Kim Taehyung | V | Dom/sub | Drunk Sex | Emotional Infidelity | Emotional Manipulation | Established Relationship | Infidelity | Love Triangles | Missionary Position | Non-Consensual Oral Sex | Non-Consensual Spanking | Obsession | Obsessive Behavior | Oral Sex | Photography | Reader-Insert | Smut | Somnophilia | Spanking | Stalker Taehyung | Stalking | Taehyung smut | Twins | Victim Blaming | Woman on Top | Yandere | Yandere BTS | Yandere Bangtan Boys | Yandere Bangtan Boys | BTS | Yandere Smut | bts smut | kim taehyung smut | kpopyandere | obsessive taehyung | pregnancy mention | unhealthy relationship | yn has low self-esteem,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/7869967,594,Candyman,"Taehyung owns a candy store, and is not very shy when it comes to pretty girls as his customers.",2016-08-25,10076.0,Mature,F/M,Completed,Alternate Universe - Candy Shop | Fluff | Sexual Content | Sexual Tension | Smut,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/17378081,569,A Natural,"You’re a single mom, and your son is your entire world. When you take him to get his first hybrid, his choice is pretty bewildering, until you realize that he was picking out a dad.",2019-01-11,29372.0,Teen And Up Audiences,F/M,Completed,Cross-Posted on Tumblr | Dog Hybrid Kim Taehyung | V | Hybrid Kim Taehyung | V | Hybrids | Kim Taehyung | V is a Sweetheart | Mentioned Jung Hoseok | J-Hope | Single Mom story,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/18066299,556,Singularity,"You and your friend were sure you will get tickets to see BTS in this summer in London. However, things didn’t work out quite how you’ve imagined it. ~ Or rather a story about how the guys stumbled into your life and unimaginable twists and turns follow. Bear with me, first timer here.",2019-03-10,424890.0,Teen And Up Audiences,F/M,In-Progress,BTS live | Budapest | Canon Compliant | Comedy | Concerts | Dancing | Eventual Smut | Fluff | Fluff and Smut | Fluffy Smut | Hong Kong | Idol Life | Idols | London | Mentions of verbal abuse | Paris (City) | Realistic | Romance | Seoul | Sexual Tension | Slow Build | Some angst | Tagging stresses me | TxT Shows up later | angst has entered the chat | live performance,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/15280485,546,,,,,,,,,,taehyung
https://golemlab.eu/graph/18811945,545,Plunge,"Little do you know, white furry ears twitch in your direction, hearing you cry out a few rooms down the cabin hallway, his blood running cold, thinking you - his chosen mate - was hurt, or something much worse. He races to the bathroom with a speed gifted from his hybrid genes.",2019-05-13,8431.0,Mature,F/M,Completed,Begging | Biting | Cunnilingus | Deadly Predator Hybrid Series | Dirty Talk | Fingering | Fluff and Smut | Hybrid - Freeform | Hybrid Kim Taehyung | Hybrid Taehyung | Hybrid V | Orgasms | Smut | Spanking | Taehyung smut | V smut | hybrid tae | polar bear hybrid | polar bear taehyung | predator hybrid series | pussy slapping | slight angst | spitting | tae smut | taehyung - Freeform | talk of breeding,"Kim Taehyung | V/Reader, Tae X Reader - Relationship, Taehyung x Reader, V x Reader Series: Deadly Predator Hybrid Series [8]",taehyung
