s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,member,members_found
https://golemlab.eu/graph/16869175,618,Heat,"He was there when you needed him most, and now, he needs you.",2018-12-05,9920,Explicit,F/M,Completed,Alpha/Beta/Omega Dynamics | Knotting | Mating Cycles/In Heat | Smut,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/16837549,611,a lullaby on canvas,"Your neighbour, as far as you knew, was mute. You weren’t sure what exactly had happened, but you figured that perhaps it contributed to the stunning works he created with paints and clay. You were curious, and that curiosity led you to grow closer – but perhaps, in growing closer and getting to know him, you were getting a little in over your head.",2018-12-04,15011,Explicit,F/M,Completed,AU | Alternate Universe | Alternate Universe - Neighbors | Alternate Universe - Supernatural Creatures | Alternate Universe - Supernatural Elements | Artist AU | Artist Kim Seokjin | Jin | Choking | Creampie | Cunnilingus | Fluff and Smut | Happy Jin Day!!! | Hickeys | Light Choking | Marking | Multiple Orgasms | Neighbour AU | Neighbour Kim Seokin | Jin | Oral Sex | Orgasm Control | Orgasm Delay/Denial | Siren Kim Seokjin | Jin | Sirens | Smut | Unprotected Sex | Vaginal Fingering | Vaginal Sex | throat fixation,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/37561735,547,9 Months to Fall in Love,"It seems like everyone around you is either already in love, or in the process of falling, and while normally you couldn’t give a damn, finding out the co-worker you’ve had a teensy crush on is dating someone else at the office seems to sucker punch you right in the gut. It’s stupid, and you’re irritated at yourself, but you can’t seem to shake out of the funk you’ve fallen face first in. Feeling lonely and heartsore, and mad for no reason, during drinks with your best friend you spot a man at the bar. Tequila confident, you make your way over to the stranger, and successfully one thing leads to another. The next morning you leave before he’s woken up, feeling satisfied in one way, but still as discontented as ever. Telling yourself it was an inebriated mistake, you quickly try to forget about it. Only, three weeks later that night comes back to haunt you – in a very unescapable way…",2022-03-06,128157,Explicit,F/M,In-Progress,Angst | Dual POV | Fainting | Fingering | Kissing | Mentions of Abortion | Morning Sickness | Multiple Orgasms | Oral Sex | Prenatal appointments | Romance | Semi intoxicated Sex | Sexual propositioning | Slow Burn | Smut | Strangers to Lovers | Toxic coworker | Unplanned Pregnancy | allusions to narcissism | mention/worry of miscarriage | mentions of parent death | mentions of unprotected sex | mentions of vomiting | minor weight mentions,"Kim Seokjin | Jin/Reader, Kim Seokjin | Jin/You Series: 9 Months to Fall in Love [1]",seokjin,{'seokjin'}
https://golemlab.eu/graph/16678213,484,Safe with Me,"Hybrid AU: SeokjinXReader: You’ve always wanted to help people, and suddenly, you’ve been given the chance to help three hybrids who are down on their luck: Jimin, a cat hybrid, Jungkook, a bunny hybrid, and Jin, a dog-hybrid. Opening your home and your heart to these three, anything could happen. Including you getting hurt.",2018-11-20,59617,Teen And Up Audiences,F/M,Completed,Adopted BTS | Ages changed | Capuchin Taehyung | Cat Hybrid Min Yoongi | Suga | Cat Hybrid Park Jimin (BTS) | Cross-Posted on Tumblr | Eventual Dad Seokjin | Foster Dad Seokjin | Hybrid Jeon Jungkook | Hybrid Jung Hoseok | J-Hope | Hybrid Kim Namjoon | RM | Hybrid Kim Seokjin | Jin | Hybrid Kim Taehyung | V | Hybrid Park Jimin | Hybrid Rights | Hybrids | Innuendos but nothing more | Jin takes care of everyone | Kim Seokjin | Jin is a Good Hyung | References to Abuse (all kinds) | Young Jimin | jimin is a ball of fluff | jungkook is protective | young jungkook,Kim Seokjin | Jin/Reader Series: The Sanctuary [1],seokjin,{'seokjin'}
https://golemlab.eu/graph/10238423,473,The Stork,"Being a single mom hadn't been the plan, but that was okay. You were going to be fine, somehow, because you had to be. Meeting an odd and handsome stranger in the park makes that prospect a little bit easier.",2017-03-12,4516,Teen And Up Audiences,F/M,Completed,Angst and Feels | Domestic Fluff | Emotional Hurt/Comfort | Families of Choice | Fluff and Angst | Single Parents | Strangers | Vignette,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/14624220,433,Pink Panther,"The one where your boss, Kim Seokjin, tries to show you how beautiful you are.",2018-05-12,13183,Explicit,F/M,Completed,Dirty Talk | Dog Hybrid Kim Taehyung | V | Hybrid Kim Seokjin | Jin | Kim Seokjin | Jin-centric | Mentions of Breeding | Mentions of impregnation | Oral Sex | Semi-Public Sex | Sex | Unprotected Sex | oral sex (female receiving),Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/12681405,411,Mellifluous,"Mellifluous (adj.)  A sound that is sweet and smooth, pleasing to hear",2017-11-10,130769,Not Rated,F/M,Completed,Comedy | Fluff and Angst | It gets better I swear | Light Angst | POV Second Person | Romance | Romantic Comedy | Romantic Fluff | Tooth-Rotting Fluff | quite a few ocs - Freeform | slight angst | some guest appearances from other idols,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/6575218,381,Salt and Soulmates,Everyone on Earth has a soulmate. You'll know your soulmate by the tattoo that appears on your forearm after they speak to you the first time. That tattoo will forever memorialize the first sentence they ever spoke to you.,2016-04-17,777,General Audiences,F/M,Completed,Alternate Universe - Soulmates | Namjoon is only there for a second | Soulmate-Identifying Marks,Kim Seokjin | Jin/Reader Series: First Words-Soulmates [1],seokjin,{'seokjin'}
https://golemlab.eu/graph/6372283,366,Cinema (Jin x Reader Smut),"At a movie premier you meet your ex / good friend, Jin. As complicated as your relationship with him is, it get even more complicated when he convinces you to ditch your date and spend some time with him.",2016-03-27,4266,Explicit,F/M,Completed,Alcohol | Bathroom Sex | Complicated Relationships | Cowgirl Position | Fluff and Smut | Love Confessions | Mirror Sex | Romance | Rough Sex | Smut | Sneaking Around,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/7102330,343,in every life i will find your shoulder to cry on,"The first time, he is your pool boy.",2016-06-05,2838,Teen And Up Audiences,F/M,Completed,Alternate Universe - Reincarnation | Angst with a Happy Ending | Best Friends | Coffee Shops | Fluff and Angst | Historical | Multi-Era | Past Lives | Puppy Love | Reincarnation | Soulmates | Teacher-Student Relationship,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/17578823,338,Movie Night,"“Sweetheart, the only person embarrassed about anything remotely sexual, is you .” You and your stubborn ass take offense and ultimately decide to prove Jin wrong. What you don’t expect, however, is that two can play at this game. [Alternatively: You both play with fire and he ends up fucking your brains out.]",2019-01-28,8743,Explicit,F/M,Completed,Banter | Best Friend Jin | Best Friends | Blow Jobs | Dirty Talk | Explicit Sexual Content | Fingerfucking | Friends to Lovers | Jin made reader horny | Light Dom/sub | Multiple Orgasms | Oral Sex | Rough Sex | Sexual Tension | and reader wants revenge | dom!jin | sub!Reader | yoongi is so confuSED,Kim Seokjin | Jin/Reader Series: The Friend AU Series [1],seokjin,{'seokjin'}
https://golemlab.eu/graph/16897086,315,Ready,"Y/n wakes up with a pain in her stomach and a need to be bred by her mate, Alpha Jin.",2018-12-07,3756,Explicit,F/M,Completed,Breeding Kink | Creampie | Hair-pulling | Impregnation Kink | Knotting | Pregnancy | Spanking | Unprotected Sex | Wolf AU,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/21346510,309,Cake || Seokjin x Reader,"""I was always hungry for your love. Just once, I wanted to know what it was like to get my fill of it. I wanted to be fed so much love that I couldn't take it anymore, just once.""",2019-11-07,93883,Mature,F/M,In-Progress,Alternate Universe - Serial Killers | Angst | Blindfolds | Blood Kink | Brainwashing | Cannibalism | Cannibalism Play | Cannibalistic Thoughts | Cute Kim Seokjin | Jin | Detective Kim Namjoon | RM | Doctor Kim Seokjin | Jin | Dom Kim Seokjin | Jin | Emotional/Psychological Abuse | Eventual Smut | Fanfiction | First Time | Fluff and Angst | Gaslighting | Handcuffs | Hostage Situations | Implied/Referenced Child Abuse | Implied/Referenced Torture | Jung Hoseok | J-Hope is a Sweetheart | Kidnapping | Kink Exploration | Light Bondage | Loss of Virginity | Manipulative Relationship | Masturbation | Mentioned Jung Hoseok | J-Hope | Mentioned Kim Namjoon | RM | Mild Gore | Murder Mystery | Murder-Suicide | Obedience | Obsessive Behavior | Praise Kink | Psychopath Kim Seokjin | Jin | Rape Fantasy | Rape/Non-con Elements | Reader-Insert | Religious Imagery & Symbolism | Romance | Serial Killers | Stockholm Syndrome | Sweet Kim Seokjin | Jin | Thriller | Tragic Romance | Unhealthy Relationships | Verbal Abuse | Yandere | Yandere Bangtan Boys | BTS | yandere kim seokjin,"Kim Seokjin | Jin/Reader, Kim Seokjin | Jin/You",seokjin,{'seokjin'}
https://golemlab.eu/graph/16957518,290,The 'mum' friend,Jin is a little tired of being the mum friend. friends-to-lovers!drabble series featuring mumfriend!Jin Jin x reader,2018-12-12,11613,Teen And Up Audiences,F/M,Completed,Fluff | Friends to Lovers | Or Is It? | Pining | Unrequited Love | lots and lots of fluff | maybe a little bit of mutual pining? | mild drunken shenanigans at some point,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
