s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,polyship_human_flag,member,members_found
https://golemlab.eu/graph/10952706,2060,Don't talk to the neighbours,"BTS are forced to relocate where they live as fans find out their old address, so a rule is set for their next home, so that their location can keep a secret- ""Don't talk to the neighbours"" Luckily (or unluckily) the next door neighbour is cute, and she cant talk. So... Min Yoongi isn't necessarily breaking the rules. _ Lowkey soulmate au",2017-05-20,48348,Not Rated,F/M,Completed,Angst | Deaf Character | Disability | Fluff and Angst | Muteness | Neighbors | Reader-Insert | Soulmates | bts neighbors | bts neighbours | deaf character bts,Min Yoongi | Suga/Reader,false,yoongi,{'yoongi'}
https://golemlab.eu/graph/10435611,1755,"My Cheating, Amnesic Fiancé","In which you (reader) and Jeon Jungkook are engaged due to an arrangement made by both of your parents. Though neither of you especially like each other, you never thought you would find yourself in a relationship with a cheater. To top that off, destiny decides to make an entrance (in the form of a hard hit to a pretty skull) and Jungkook suffers amnesia, which only you seem to be able to handle. What will happen? Will you stay with him and help him through his predicament even though he loves someone else? Or should you simply let him go? Follow me on Twitter, @AW_Collins! Read original work from me on Wattpad, @Wrienne! Currently working on The Winter King !",2017-03-25,167244,Teen And Up Audiences,F/M,Completed,Amnesia | Angst | Arranged Marriage | Drama | Implied/Referenced Suicide | Past Child Abuse | Reader-Insert | References to Depression | Romance | Suicide Attempt,Jeon Jungkook/Reader Series: My Cheating Amnesic Fiancé Series [1],false,jungkook,{'jungkook'}
https://golemlab.eu/graph/17714183,1678,Owner Training,A stray hybrid has claimed you and you're not quite sure who the owner is here. (AKA The one where Yoongi breaks into your house and says he lives there now),2019-02-09,23157,Explicit,F/M,Completed,Alternate Universe - Hybrid | Cat Hybrid Min Yoongi | Suga | Cat/Human Hybrids | Dog Hybrid Kim Taehyung | V | Fluff | Hybrid Min Yoongi | Suga | Hybrids | Implied though - Freeform | Min Yoongi | Suga Is a Little Shit | Min Yoongi | Suga Needs a Hug | Now with smut! | One Shot Collection | Recreational Drug Use | Sassy Min Yoongi | Suga | Unprotected Sex | Yoongi goes into heat | Yoongi's just on the nip | impreg kink | side vmin - Freeform,Min Yoongi | Suga/Reader Series: How To Train Your Owner [1],false,yoongi,{'yoongi'}
https://golemlab.eu/graph/9367868,1572,Muse // Jungkook X Reader,Jeon Jungkook is a famous painter hiding his identity beneath a pseudonym. Anonymously wandering around his gallery opening he sees you appraising a piece of art that he hates – a piece inspired by his previous lover. In a moment of weakness and awe he approaches you with one offer in mind. “Be my muse.”,2017-01-17,37367,Teen And Up Audiences,F/M,Completed,Complete | Fluff | Fluff and Angst | Painter!AU | Romance | Unresolved Romantic Tension,"Jeon Jungkook/Reader, Jeon Jungkook/You",false,jungkook,{'jungkook'}
https://golemlab.eu/graph/25881670,1313,A Sea of Indigo,"Pitbull Hybrid Jungkook has finally been freed from the fighting rings, and now finds himself at Marigold Sanctuary & Transition Estate, a place for healing and self-discovery for rescued hybrids. It's stupid, dumb, cheesy, and hell-bent on helping Jungkook ""heal"" and ""find himself"" and ""decide the course of his life."" And right at the center of it is Y/N, a nurse who's got everyone bamboozled that she's like some awesome person. She's not that great. Jungkook hates it here.",2020-08-13,240149,Explicit,F/M,Completed,BTS AU | Cat Hybrid Min Yoongi | Suga | Dog Hybrid Jeon Jungkook | Fighter Jeon Jungkook | Fox Hybrid Park Jimin (BTS) | Hurt/Comfort | Hybrid Jeon Jungkook | Hybrid Jung Hoseok | J-Hope | Hybrids | Recovery | Slow Burn | Slow Romance | Tiger Hybrid Kim Taehyung | V | Wolf Hybrid Kim Namjoon | RM,Jeon Jungkook/Reader Series: The Indigo Collection [1],false,jungkook,{'jungkook'}
https://golemlab.eu/graph/16778878,1260,Tentacledipity,"This tale starts, as any good fiction does, with a girl crash landing on a foreign planet. And, like any good fiction, it follows a theme of serendipitous happening, and tentacles. Behold, serendipity and tentacles— or dare we call it… tentacledipity. OR The Wanted spin-off that I couldn't resist making for our beloved Jimin-ssi!!",2018-11-29,50501,Explicit,F/M,In-Progress,Alien AU | Alien Park Jimin (BTS) | Aliens | Alternate Universe - Aliens | Alternate Universe - Soulmates | Angst | Fondling | HUEHUEHUEHEUHE | Light Dirty Talk | Smut | Soulmate AU | Soulmate-Identifying Marks | Squirting | Tentacle Sex | Tentacles | Vaginal Fingering | human reader | i mean not yet but Soon | jesus can't believe I'm back on THIS bullshit,Park Jimin (BTS)/Reader Series: Wanted [2],false,jimin,{'jimin'}
https://golemlab.eu/graph/11689875,1237,First Words,Everyone has a tattoo on their wrist of the first words their soulmate will say to them. But what happens when one person in the relationship is mute? Based on a tumblr prompt.,2017-08-03,33271,General Audiences,F/M,Completed,Alternate Universe - Soulmates | Cute Min Yoongi | Suga | Depressed Min Yoongi | Suga | Feels | Grumpy Min Yoongi | Suga | I Tried | Reader-Insert | Soulmate-Identifying Marks | Soulmates,"Min Yoongi | Suga/Reader, Min Yoongi | Suga/You",false,yoongi,{'yoongi'}
https://golemlab.eu/graph/5753209,1222,The Unwanted Alpha,"You curse the day you came of age and presented as an Alpha! A female Alpha is super rare, about 1% of the female population identify as Alpha and wasn’t it fan- fucking-tastic that you beat those odds.",2016-01-18,36229,Mature,F/M,In-Progress,Alpha/Beta/Omega Dynamics | Alternate Universe - Werewolf | Angst | Eventual Smut | Romance | Slice of Life,Jeon Jungkook/Reader,false,jungkook,{'jungkook'}
https://golemlab.eu/graph/7910962,1184,Hiraeth,"The world has been ravaged by famine and disease, and the population has plummeted. You are assigned a breeding partner, but mindlessly repopulating the planet is more difficult than it seems. Especially when you fall in love.",2016-08-31,12596,Explicit,F/M,Completed,Alternate Universe - Post-Apocalypse | FLU F F | Fluff | Light Angst | SO MUCH FLUFF | Sexual Content | Sexual Tension | Smut | alternative universe,Jeon Jungkook/Reader,false,jungkook,{'jungkook'}
https://golemlab.eu/graph/15667524,1174,tip 143 (for ∞ seconds of love),"Even though he is everything you find attractive in a man, your friend and co-worker Jung Hoseok is just exactly that - a friend and co-worker. For some reason, you have never found yourself attracted to him even though all the girls and guys around you go absolutely crazy for him. But that all changes for you one night while scrolling through Heart2Heart , a sex live cam website...",2018-08-13,87871,Explicit,F/M,Completed,Alternate Universe - College/University | Camboy Jung Hoseok | J-Hope | Camgirl Reader | Comedy | Cunnilingus | Degradation | Dirty Talk | Fluff | Friends to Lovers | Masturbation | Multiple Orgasms | Overstimulation | Smut | Vaginal Fingering,Jung Hoseok | J-Hope/Reader,false,hoseok,{'hoseok'}
https://golemlab.eu/graph/30222195,1099,Mutual Help,"In order for you to pretend to be his girlfriend, he helps you with your sexual desires - he calls it a mutual help",2021-03-23,387752,Mature,F/M,In-Progress,Anal Play | Angst | Cross-Posted on Wattpad | Deepthroating | Explicit Language | Fake/Pretend Relationship | Fluff | Friends to Lovers | Implied/Referenced Cheating | Oral Sex | Rough Sex | Semi-Public Sex | Sex Toys | Slow Burn | Smut | Spanking | Vaginal Sex,"Jeon Jungkook/Reader, Jeon Jungkook/You",false,jungkook,{'jungkook'}
https://golemlab.eu/graph/6857905,1098,Pancakes?,"“You slept with my roommate who is notorious for one night stands, and now I’m meant to tell you that the reason you woke up alone is because she had to get to an early class. I should then proceed to get your phone number and tell you that she’ll call in a few days before binning it as soon as you leave, but I never do that so hi, sorry my roommates a jackass. Pancakes?” - Rewritten as of 10/26/20 because ~growth~",2020-10-26,1309,General Audiences,F/M,Completed,Alternate Universe - College/University | But still not quite as fluffy as reader's pancakes | Fluff | Jungkook-centric | Reader-Insert | literally nothing but the fluffiest of fluff | no beta we die like men | reader - Freeform | those shits be top tier | y/n not used,Jeon Jungkook/Reader,false,jungkook,{'jungkook'}
https://golemlab.eu/graph/11852538,1045,Close to Normal,"Kim Taehyung finds himself staying in a hotel alone without the other members. There, he is drawn to a troubled girl who reminds him that he is just a man.",2017-08-20,73944,Mature,F/M,Completed,Adorable Kim Taehyung | V | Angst | Canon Compliant | Eventual Smut | Falling In Love | Fame | Fluff | Googles how to tag | Help | I Blame Tumblr | Idol Kim Taehyung | V | Implied Sexual Content | Kim Taehyung | V & Park Jimin are Best Friends | Kim Taehyung | V is a Sweetheart | Language Barrier | My First AO3 Post | My First Fanfic | Other Additional Tags to Be Added | Park Jimin Is a Sweetheart | Sexual Tension | Some humour if you squint,Kim Taehyung | V/Reader Series: Close to Normal [1],false,taehyung,{'taehyung'}
https://golemlab.eu/graph/29358348,1031,Too Good To Be True,"Kim Taehyung is a world famous idol in the hit K-pop group, BTS, and you are his personal stylist. Per your contract with Big Hit, he is absolutely, 100% off-limits, and yet, you are completely and hopelessly in love with him. You’ve spent years trying to shove your feelings down, but it’s getting harder and harder to ignore and hide them, especially considering the way Tae always treats you. He’s affectionate and protective and sometimes outright flirtatious, but that’s how he is with everyone, right? Confused, frustrated, and lovesick, you find yourself wondering if it might finally be worth risking your career and your heart to find out.",2021-02-11,182705,Mature,F/M,In-Progress,Adorable Kim Taehyung | V | Angst | Angst with a Happy Ending | Big Hit Entertainment | Depression | Dom Kim Taehyung | V | Eventual Smut | Flirting | Fluff | Fluff and Angst | Friends to Lovers | Happy Ending | Kim Taehyung | V is Bad at Feelings | Kim Taehyung | V is a Tease | Kim Taehyung | V-centric | Kissing | Mutual Pining | Romance | Sex | Slow Burn | Smut | Sweet Kim Taehyung | V,"Kim Taehyung | V/Reader, Kim Taehyung | V/You",false,taehyung,{'taehyung'}
https://golemlab.eu/graph/15333759,954,Maintenance,"Jeon Jungkook is a bunny hybrid . He's lovable. He's cute. However, he's very,very,very, high maintenance.  Being a bunny he has heats left and right . His chances of adoption are low compared to cat and dog hybrids due to how high maintenance he is . Enter you, a lonely business woman. You're pretty well off and just crave companionship. Dating has just blundered your morale as a single woman. It doesn't have to be sexual , nor romantic. Just someone to come home to would be nice. However it isn't till you take this bunny hybrid home, that you see just how much maintenance he really is.",2018-07-18,25073,Mature,F/M,Completed,Bts/reader - Freeform | Bunny Hybrid Jungkook | Heat Sex | Hybrid bts | Smut | Some angst | hybrid sex | jeon jungkook - Freeform | jungkook - Freeform,Jeon Jungkook/Reader,false,jungkook,{'jungkook'}
https://golemlab.eu/graph/10745400,896,Please Let Me,"Your past relationships have made you cold, and your friend Taehyung wants to help make you warm again.",2017-04-27,23927,Explicit,F/M,Completed,Alcohol | Angst | Angst and Fluff and Smut | Best Friends | Body Worship | Cheating | Cunnilingus | Dirty Talk | Drunk Sex | Drunkenness | Fluff | Fluff and Angst | Fluff and Smut | Jealousy | Kim Taehyung | V is a Sweetheart | Kim Taehyung | V-centric | Male-Female Friendship | Multiple Orgasms | Oral Sex | Penis In Vagina Sex | Porn With Plot | Porn with Feelings | Reader-Insert | Reader-Interactive | Riding | Smut | Vaginal Sex,Kim Taehyung | V/Reader,false,taehyung,{'taehyung'}
