s,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,kudos,member,keyword,relationship,tag_list,canonical_tags,non-canonical_tags,bts_tags,bts_tags_masked,title_masked,summary_masked,text_masked,tags_masked,summary_flagged,tags_flagged
https://golemlab.eu/graph/15667524,tip 143 (for ∞ seconds of love),"Even though he is everything you find attractive in a man, your friend and co-worker Jung Hoseok is just exactly that - a friend and co-worker. For some reason, you have never found yourself attracted to him even though all the girls and guys around you go absolutely crazy for him. But that all changes for you one night while scrolling through Heart2Heart , a sex live cam website...",2018-08-13,87871,Explicit,F/M,Completed,1174,hoseok,Alternate Universe - College/University | Camboy Jung Hoseok | J-Hope | Camgirl Reader | Comedy | Cunnilingus | Degradation | Dirty Talk | Fluff | Friends to Lovers | Masturbation | Multiple Orgasms | Overstimulation | Smut | Vaginal Fingering,Jung Hoseok | J-Hope/Reader,"['Alternate Universe - College/University', 'Camboy Jung Hoseok', 'J-Hope', 'Camgirl Reader', 'Comedy', 'Cunnilingus', 'Degradation', 'Dirty Talk', 'Fluff', 'Friends to Lovers', 'Masturbation', 'Multiple Orgasms', 'Overstimulation', 'Smut', 'Vaginal Fingering']","['Alternate Universe - College/University', 'Comedy', 'Cunnilingus', 'Dirty Talk', 'Fluff', 'Friends to Lovers', 'Masturbation', 'Multiple Orgasms', 'Overstimulation', 'Smut', 'Vaginal Fingering']","['Camboy Jung Hoseok', 'J-Hope', 'Camgirl Reader', 'Degradation']",[],"['camboy [MEMBER]', '[MEMBER]', 'camgirl reader', 'degradation']",tip 143 (for ∞ seconds of love),"even though he is everything you find attractive in a man, your friend and co-worker [MEMBER] is just exactly that - a friend and co-worker. for some reason, you have never found yourself attracted to him even though all the girls and guys around you go absolutely crazy for him. but that all changes for you one night while scrolling through heart2heart , a sex live cam website...","tip 143 (for ∞ seconds of love) [SEP] even though he is everything you find attractive in a man, your friend and co-worker [MEMBER] is just exactly that - a friend and co-worker. for some reason, you have never found yourself attracted to him even though all the girls and guys around you go absolutely crazy for him. but that all changes for you one night while scrolling through heart2heart , a sex live cam website...","alternate universe - college/university, comedy, cunnilingus, dirty talk, fluff, friends to lovers, masturbation, multiple orgasms, overstimulation, smut, vaginal fingering, camboy [member], [member], camgirl reader, degradation",False,False
https://golemlab.eu/graph/15226815,Run Little Rabbit,"Jung Hoseok - the Alpha wolf of his pack and far out of your league. As a rabbit shifter who still jumps around predators, you fantasise about your dangerous crush from a safe distance, particularly as he doesn’t like you. But what happens when he goes into heat and you’re the only one he’ll accept?",2018-07-09,15323,Explicit,F/M,Completed,765,hoseok,Biting | Creampie | Cumplay | Degradation | Degrading Talk | Dom Hoseok | Forced Orgasms | Impregnation Kink | Knotting | Overstimulation | Possessive Behaviour | Possessive Talk | Rough Sex | Shifter AU | Shifter Reader | Spanking | Squirting | Supernatural AU - Freeform | Wolf Shifter AU | rabbit shifter reader | sub Reader | wolf shifter hoseok,Jung Hoseok | J-Hope/Reader Series: Run Little Rabbit [1],"['Biting', 'Creampie', 'Cumplay', 'Degradation', 'Degrading Talk', 'Dom Hoseok', 'Forced Orgasms', 'Impregnation Kink', 'Knotting', 'Overstimulation', 'Possessive Behaviour', 'Possessive Talk', 'Rough Sex', 'Shifter AU', 'Shifter Reader', 'Spanking', 'Squirting', 'Supernatural AU - Freeform', 'Wolf Shifter AU', 'rabbit shifter reader', 'sub Reader', 'wolf shifter hoseok']","['Biting', 'Creampie', 'Knotting', 'Overstimulation', 'Rough Sex', 'Spanking']","['Cumplay', 'Degradation', 'Degrading Talk', 'Dom Hoseok', 'Forced Orgasms', 'Impregnation Kink', 'Possessive Behaviour', 'Possessive Talk', 'Shifter AU', 'Shifter Reader', 'Squirting', 'Supernatural AU - Freeform', 'Wolf Shifter AU']",[],"['cumplay', 'degradation', 'degrading talk', 'dom [MEMBER]', 'forced orgasms', 'impregnation kink', 'possessive behaviour', 'possessive talk', 'shifter au', 'shifter reader', 'squirting', 'supernatural au - freeform', 'wolf shifter au']",run little rabbit,"[MEMBER] - the alpha wolf of his pack and far out of your league. as a rabbit shifter who still jumps around predators, you fantasise about your dangerous crush from a safe distance, particularly as he doesn’t like you. but what happens when he goes into heat and you’re the only one he’ll accept?","run little rabbit [SEP] [MEMBER] - the alpha wolf of his pack and far out of your league. as a rabbit shifter who still jumps around predators, you fantasise about your dangerous crush from a safe distance, particularly as he doesn’t like you. but what happens when he goes into heat and you’re the only one he’ll accept?","biting, creampie, knotting, overstimulation, rough sex, spanking, cumplay, degradation, degrading talk, dom [member], forced orgasms, impregnation kink, possessive behaviour, possessive talk, shifter au, shifter reader, squirting, supernatural au - freeform, wolf shifter au",False,False
https://golemlab.eu/graph/15019640,Feral,"hoseok, the asshole, wasn’t answering any of your calls or texts. as his best friend, it was your duty to go and check on him. little did you know, he had a VERY good reason for not answering.",2018-06-23,4091,Explicit,F/M,Completed,530,hoseok,Alpha Jung Hoseok | J-Hope | Breeding | Dom Jung Hoseok | J-Hope | Impregnation Kink | Just lots of smut | Knotting | Mating | Mating Cycles/In Heat | Oral Sex | Rut | Smut | Werewolves | pretty much pwp,Jung Hoseok | J-Hope/Reader,"['Alpha Jung Hoseok', 'J-Hope', 'Breeding', 'Dom Jung Hoseok', 'J-Hope', 'Impregnation Kink', 'Just lots of smut', 'Knotting', 'Mating', 'Mating Cycles/In Heat', 'Oral Sex', 'Rut', 'Smut', 'Werewolves', 'pretty much pwp']","['Breeding', 'Knotting', 'Mating', 'Mating Cycles/In Heat', 'Oral Sex', 'Smut', 'Werewolves']","['Alpha Jung Hoseok', 'J-Hope', 'Dom Jung Hoseok', 'J-Hope', 'Impregnation Kink', 'Rut']",[],"['alpha [MEMBER]', '[MEMBER]', 'dom [MEMBER]', '[MEMBER]', 'impregnation kink', 'rut']",feral,"[MEMBER], the asshole, wasn’t answering any of your calls or texts. as his best friend, it was your duty to go and check on him. little did you know, he had a very good reason for not answering.","feral [SEP] [MEMBER], the asshole, wasn’t answering any of your calls or texts. as his best friend, it was your duty to go and check on him. little did you know, he had a very good reason for not answering.","breeding, knotting, mating, mating cycles/in heat, oral sex, smut, werewolves, alpha [member], [member], dom [member], [member], impregnation kink, rut",False,False
https://golemlab.eu/graph/15718185,By its cover,"Your annoying little brother Jimin accepts a dare and summons a demon into your living room. There are multiple problems with this. 1) Demons are the most hated species on earth. 2) That demon happens to be Jung Hoseok, the most popular guy on campus 3) The fact that Jung Hoseok is a demon is his biggest secret and 4) Jung Hoseok hates your guts. You’re in for a wild ride. Demon!Hoseok x witch!Reader Magic-university!au enemies-to-lovers!au",2018-08-18,38931,Teen And Up Audiences,F/M,Completed,519,hoseok,Alternate Universe - Modern with Magic | Demon AU | Demon Summoning | Demons | Enemies to Friends to Lovers | Enemies to Lovers | Fluff | Magic University - Freeform | Some angst | Witch!Reader | demon!hoseok,Jung Hoseok | J-Hope/Reader,"['Alternate Universe - Modern with Magic', 'Demon AU', 'Demon Summoning', 'Demons', 'Enemies to Friends to Lovers', 'Enemies to Lovers', 'Fluff', 'Magic University - Freeform', 'Some angst', 'Witch!Reader', 'demon!hoseok']","['Alternate Universe - Modern with Magic', 'Demon Summoning', 'Demons', 'Enemies to Friends to Lovers', 'Enemies to Lovers', 'Fluff']","['Demon AU', 'Magic University - Freeform', 'Witch!Reader']",[],"['demon au', 'magic university - freeform', 'witch!reader']",by its cover,"your annoying little brother [MEMBER] accepts a dare and summons a demon into your living room. there are multiple problems with this. 1) demons are the most hated species on earth. 2) that demon happens to be [MEMBER], the most popular guy on campus 3) the fact that [MEMBER] is a demon is his biggest secret and 4) [MEMBER] hates your guts. you’re in for a wild ride. demon![MEMBER] x witch!reader magic-university!au enemies-to-lovers!au","by its cover [SEP] your annoying little brother [MEMBER] accepts a dare and summons a demon into your living room. there are multiple problems with this. 1) demons are the most hated species on earth. 2) that demon happens to be [MEMBER], the most popular guy on campus 3) the fact that [MEMBER] is a demon is his biggest secret and 4) [MEMBER] hates your guts. you’re in for a wild ride. demon![MEMBER] x witch!reader magic-university!au enemies-to-lovers!au","alternate universe - modern with magic, demon summoning, demons, enemies to friends to lovers, enemies to lovers, fluff, demon au, magic university - freeform, witch!reader",False,False
https://golemlab.eu/graph/14252745,You Woke Me Up,Hoseok is your neighbor. He likes to have loud parties. You like to call the cops on him.,2018-04-08,6282,Explicit,F/M,Completed,475,hoseok,Alternate Universe - Modern Setting | Dance Instructor Jung Hoseok | J-Hope | Dancer Jung Hoseok | J-Hope | Dom/sub | Enemies to Friends to Lovers | Masturbation | Oral Sex | Porn with Feelings | Sex | Smut,Jung Hoseok | J-Hope/Reader,"['Alternate Universe - Modern Setting', 'Dance Instructor Jung Hoseok', 'J-Hope', 'Dancer Jung Hoseok', 'J-Hope', 'Dom/sub', 'Enemies to Friends to Lovers', 'Masturbation', 'Oral Sex', 'Porn with Feelings', 'Sex', 'Smut']","['Alternate Universe - Modern Setting', 'Dom/sub', 'Enemies to Friends to Lovers', 'Masturbation', 'Oral Sex', 'Porn with Feelings', 'Sex', 'Smut']","['Dance Instructor Jung Hoseok', 'J-Hope', 'Dancer Jung Hoseok', 'J-Hope']",[],"['dance instructor [MEMBER]', '[MEMBER]', 'dancer [MEMBER]', '[MEMBER]']",you woke me up,[MEMBER] is your neighbor. he likes to have loud parties. you like to call the cops on him.,you woke me up [SEP] [MEMBER] is your neighbor. he likes to have loud parties. you like to call the cops on him.,"alternate universe - modern setting, dom/sub, enemies to friends to lovers, masturbation, oral sex, porn with feelings, sex, smut, dance instructor [member], [member], dancer [member], [member]",False,False
https://golemlab.eu/graph/8171422,Redemancy,"You were sure that saving his life wasn't something that needed to be repaid. He of course, did not agree.",2016-10-01,13130,Teen And Up Audiences,F/M,Completed,429,hoseok,Alternate Universe - College/University | Fluff | slight slight angst,Jung Hoseok | J-Hope/Reader,"['Alternate Universe - College/University', 'Fluff', 'slight slight angst']","['Alternate Universe - College/University', 'Fluff']",[],[],[],redemancy,"you were sure that saving his life wasn't something that needed to be repaid. he of course, did not agree.","redemancy [SEP] you were sure that saving his life wasn't something that needed to be repaid. he of course, did not agree.","alternate universe - college/university, fluff",False,False
https://golemlab.eu/graph/21975991,Flower,"You finally decide to take a dip into the world of online dating and find the Flower dating app. One of the top matches for you proves to be a guy who looks to be your complete opposite; tattooed, pierced, a metalhead and oh…incredibly handsome. What happens when you throw caution to the wind and reach out to him?",2019-12-26,176806,Mature,F/M,Completed,421,hoseok,Anal Sex | Anxiety | Blow Job | Depression | Dildos | Discussion of Death | Fingering | Kink Exploration | Mentions of car accident | Online Dating | Oral Sex | Panic Attack | Penetrative Sex | Self-Loathing | Sex Toys | Social Anxiety | antidepressants | anxiety attack | dating app au | lack of self confidence | lack of self esteem | metalhead hoseok | nerd reader | online dating au | shy reader | tattooed hoseok,Jung Hoseok | J-Hope/Reader Series: Flower [1],"['Anal Sex', 'Anxiety', 'Blow Job', 'Depression', 'Dildos', 'Discussion of Death', 'Fingering', 'Kink Exploration', 'Mentions of car accident', 'Online Dating', 'Oral Sex', 'Panic Attack', 'Penetrative Sex', 'Self-Loathing', 'Sex Toys', 'Social Anxiety', 'antidepressants', 'anxiety attack', 'dating app au', 'lack of self confidence', 'lack of self esteem', 'metalhead hoseok', 'nerd reader', 'online dating au', 'shy reader', 'tattooed hoseok']","['Anal Sex', 'Anxiety', 'Depression', 'Dildos', 'Kink Exploration', 'Online Dating', 'Oral Sex', 'Sex Toys', 'Social Anxiety']","['Blow Job', 'Fingering', 'Panic Attack', 'Penetrative Sex', 'Self-Loathing']",[],"['blow job', 'fingering', 'panic attack', 'penetrative sex', 'self-loathing']",flower,"you finally decide to take a dip into the world of online dating and find the flower dating app. one of the top matches for you proves to be a guy who looks to be your complete opposite; tattooed, pierced, a metalhead and oh…incredibly handsome. what happens when you throw caution to the wind and reach out to him?","flower [SEP] you finally decide to take a dip into the world of online dating and find the flower dating app. one of the top matches for you proves to be a guy who looks to be your complete opposite; tattooed, pierced, a metalhead and oh…incredibly handsome. what happens when you throw caution to the wind and reach out to him?","anal sex, anxiety, depression, dildos, kink exploration, online dating, oral sex, sex toys, social anxiety, blow job, fingering, panic attack, penetrative sex, self-loathing",False,False
https://golemlab.eu/graph/18070754,The Jackpot Question,"Though the Septas have a history full of violence and crime, they've come to be nothing more than a legend, a group talked about in hushed whispers, or shouted about by conspiracy theorists. But legends, like fairy tales, originated somewhere. There is truth to them. And the truth about the Septas is that they still exist – they operate quietly, trading favors and influencing the world in order to make it better, to help the deserving. That is, until one day, when they're forced to return to their old ways. The Septas are back.",2019-03-11,63039,Explicit,F/M,Completed,406,hoseok,Alternate Universe - Modern Setting | Blood and Violence | Car Chases | Cybercrimes | Eventual Happy Ending | Gun Violence | Kidnapping | Organized Crime,Jung Hoseok | J-Hope/Reader Series: The Septas [2],"['Alternate Universe - Modern Setting', 'Blood and Violence', 'Car Chases', 'Cybercrimes', 'Eventual Happy Ending', 'Gun Violence', 'Kidnapping', 'Organized Crime']","['Alternate Universe - Modern Setting', 'Blood and Violence', 'Car Chases', 'Cybercrimes', 'Eventual Happy Ending', 'Gun Violence', 'Kidnapping', 'Organized Crime']",[],[],[],the jackpot question,"though the septas have a history full of violence and crime, they've come to be nothing more than a legend, a group talked about in hushed whispers, or shouted about by conspiracy theorists. but legends, like fairy tales, originated somewhere. there is truth to them. and the truth about the septas is that they still exist – they operate quietly, trading favors and influencing the world in order to make it better, to help the deserving. that is, until one day, when they're forced to return to their old ways. the septas are back.","the jackpot question [SEP] though the septas have a history full of violence and crime, they've come to be nothing more than a legend, a group talked about in hushed whispers, or shouted about by conspiracy theorists. but legends, like fairy tales, originated somewhere. there is truth to them. and the truth about the septas is that they still exist – they operate quietly, trading favors and influencing the world in order to make it better, to help the deserving. that is, until one day, when they're forced to return to their old ways. the septas are back.","alternate universe - modern setting, blood and violence, car chases, cybercrimes, eventual happy ending, gun violence, kidnapping, organized crime",False,False
https://golemlab.eu/graph/6575335,Sunshine Smiles and Connecting Flights,Everyone on Earth has a soulmate. You'll know your soulmate by the tattoo that appears on your forearm after they speak to you the first time. That tattoo will forever memorialize the first sentence they ever spoke to you.,2016-04-18,629,General Audiences,F/M,Completed,385,hoseok,Alternate Universe - Soulmates | Soulmate-Identifying Marks,Jung Hoseok | J-Hope/Reader Series: First Words-Soulmates [3],"['Alternate Universe - Soulmates', 'Soulmate-Identifying Marks']","['Alternate Universe - Soulmates', 'Soulmate-Identifying Marks']",[],[],[],sunshine smiles and connecting flights,everyone on earth has a soulmate. you'll know your soulmate by the tattoo that appears on your forearm after they speak to you the first time. that tattoo will forever memorialize the first sentence they ever spoke to you.,sunshine smiles and connecting flights [SEP] everyone on earth has a soulmate. you'll know your soulmate by the tattoo that appears on your forearm after they speak to you the first time. that tattoo will forever memorialize the first sentence they ever spoke to you.,"alternate universe - soulmates, soulmate-identifying marks",False,False
https://golemlab.eu/graph/5786272,Take All of Me,You try something new with Hoseok.,2016-01-22,1681,Explicit,Other,Completed,357,hoseok,Hair Pulling | Hand Jobs | thigh riding,Jung Hoseok | J-Hope/Reader,"['Hair Pulling', 'Hand Jobs', 'thigh riding']",['Hand Jobs'],['Hair Pulling'],[],['hair pulling'],take all of me,you try something new with [MEMBER].,take all of me [SEP] you try something new with [MEMBER].,"hand jobs, hair pulling",False,False
