s,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,kudos,member,keyword,relationship,tag_list,canonical_tags,non-canonical_tags,bts_tags,bts_tags_masked,title_masked,summary_masked,text_masked,tags_masked,summary_flagged,tags_flagged
https://golemlab.eu/graph/16778878,Tentacledipity,"This tale starts, as any good fiction does, with a girl crash landing on a foreign planet. And, like any good fiction, it follows a theme of serendipitous happening, and tentacles. Behold, serendipity and tentacles— or dare we call it… tentacledipity. OR The Wanted spin-off that I couldn't resist making for our beloved Jimin-ssi!!",2018-11-29,50501,Explicit,F/M,In-Progress,1260,jimin,Alien AU | Alien Park Jimin (BTS) | Aliens | Alternate Universe - Aliens | Alternate Universe - Soulmates | Angst | Fondling | HUEHUEHUEHEUHE | Light Dirty Talk | Smut | Soulmate AU | Soulmate-Identifying Marks | Squirting | Tentacle Sex | Tentacles | Vaginal Fingering | human reader | i mean not yet but Soon | jesus can't believe I'm back on THIS bullshit,Park Jimin (BTS)/Reader Series: Wanted [2],"['Alien AU', 'Alien Park Jimin (BTS)', 'Aliens', 'Alternate Universe - Aliens', 'Alternate Universe - Soulmates', 'Angst', 'Fondling', 'HUEHUEHUEHEUHE', 'Light Dirty Talk', 'Smut', 'Soulmate AU', 'Soulmate-Identifying Marks', 'Squirting', 'Tentacle Sex', 'Tentacles', 'Vaginal Fingering', 'human reader', 'i mean not yet but Soon', ""jesus can't believe I'm back on THIS bullshit""]","['Aliens', 'Alternate Universe - Aliens', 'Alternate Universe - Soulmates', 'Angst', 'Fondling', 'Smut', 'Soulmate-Identifying Marks', 'Tentacle Sex', 'Tentacles', 'Vaginal Fingering']","['Alien AU', 'Light Dirty Talk', 'Soulmate AU', 'Squirting']",['Alien Park Jimin (BTS)'],"['alien [MEMBER]', 'alien au', 'light dirty talk', 'soulmate au', 'squirting']",tentacledipity,"this tale starts, as any good fiction does, with a girl crash landing on a foreign planet. and, like any good fiction, it follows a theme of serendipitous happening, and tentacles. behold, serendipity and tentacles— or dare we call it… tentacledipity. or the wanted spin-off that i couldn't resist making for our beloved [MEMBER]ssi!!","tentacledipity [SEP] this tale starts, as any good fiction does, with a girl crash landing on a foreign planet. and, like any good fiction, it follows a theme of serendipitous happening, and tentacles. behold, serendipity and tentacles— or dare we call it… tentacledipity. or the wanted spin-off that i couldn't resist making for our beloved [MEMBER]ssi!!","aliens, alternate universe - aliens, alternate universe - soulmates, angst, fondling, smut, soulmate-identifying marks, tentacle sex, tentacles, vaginal fingering, alien [member], alien au, light dirty talk, soulmate au, squirting",False,False
https://golemlab.eu/graph/10575603,Begin,(a much less smutty) prequel to Sharing is Caring. Follows the reader and Jimin's relationship as they develop feelings for one another.,2017-04-09,30000,Explicit,F/M,Completed,634,jimin,Angst and Fluff and Smut | Anxiety | Anxiety Attacks | Anxiety Disorder | Cute Park Jimin | Domestic Fluff | Eventual Fluff | Eventual Relationships | Eventual Romance | Eventual Sex | Eventual Smut | Fanfiction | Fluff | Fluff and Angst | Fluff and Smut | Jeon Jungkook-Centric | Light Angst | Panic Attacks | Park Jimin Is a Sweetheart | Park Jimin-centric | Past Abuse | Past Relationship(s) | Past Sexual Abuse | Reader-Insert | Reader-Interactive | Shyness | Social Anxiety | Top Park Jimin | best friend Jeon Jungkook | ok enough tags,Park Jimin (BTS)/Reader Series: Sharing is Caring [2],"['Angst and Fluff and Smut', 'Anxiety', 'Anxiety Attacks', 'Anxiety Disorder', 'Cute Park Jimin', 'Domestic Fluff', 'Eventual Fluff', 'Eventual Relationships', 'Eventual Romance', 'Eventual Sex', 'Eventual Smut', 'Fanfiction', 'Fluff', 'Fluff and Angst', 'Fluff and Smut', 'Jeon Jungkook-Centric', 'Light Angst', 'Panic Attacks', 'Park Jimin Is a Sweetheart', 'Park Jimin-centric', 'Past Abuse', 'Past Relationship(s)', 'Past Sexual Abuse', 'Reader-Insert', 'Reader-Interactive', 'Shyness', 'Social Anxiety', 'Top Park Jimin', 'best friend Jeon Jungkook', 'ok enough tags']","['Angst and Fluff and Smut', 'Anxiety', 'Anxiety Attacks', 'Anxiety Disorder', 'Domestic Fluff', 'Eventual Fluff', 'Eventual Relationships', 'Eventual Romance', 'Eventual Sex', 'Eventual Smut', 'Fanfiction', 'Fluff', 'Fluff and Angst', 'Fluff and Smut', 'Light Angst', 'Panic Attacks', 'Past Abuse', 'Past Relationship(s)', 'Past Sexual Abuse', 'Reader-Insert', 'Reader-Interactive', 'Shyness', 'Social Anxiety']","['Cute Park Jimin', 'Jeon Jungkook-Centric', 'Top Park Jimin']",[],"['cute [MEMBER]', '[MEMBER]centric', 'top [MEMBER]']",begin,follows the reader and [MEMBER]'s relationship as they develop feelings for one another.,begin [SEP] follows the reader and [MEMBER]'s relationship as they develop feelings for one another.,"angst and fluff and smut, anxiety, anxiety attacks, anxiety disorder, domestic fluff, eventual fluff, eventual relationships, eventual romance, eventual sex, eventual smut, fanfiction, fluff, fluff and angst, fluff and smut, light angst, panic attacks, past abuse, past relationship(s), past sexual abuse, reader-insert, reader-interactive, shyness, social anxiety, cute [member], [member]centric, top [member]",False,False
https://golemlab.eu/graph/7101973,Poster Boy,"In which your social anxiety and one very charming Park Jimin, high school senior extraordinaire, do not mix well. (Birthday fic for @thisbiasruiner!!!!)",2016-06-05,5057,Teen And Up Audiences,F/M,Completed,573,jimin,Alternate Universe - High School | Birthday | Birthday Fluff | Fluff | Homework | lots of kisses,Park Jimin (BTS)/Reader Series: Poster Boy [1],"['Alternate Universe - High School', 'Birthday', 'Birthday Fluff', 'Fluff', 'Homework', 'lots of kisses']","['Alternate Universe - High School', 'Birthday', 'Birthday Fluff', 'Fluff', 'Homework']",[],[],[],poster boy,"in which your social anxiety and one very charming [MEMBER], high school senior extraordinaire, do not mix well.","poster boy [SEP] in which your social anxiety and one very charming [MEMBER], high school senior extraordinaire, do not mix well.","alternate universe - high school, birthday, birthday fluff, fluff, homework",False,False
https://golemlab.eu/graph/8301211,The Hot Secret,Jimin definitely has a mommy kink and wants to be called princess and baby boy and nobody can convince me otherwise. -- Unbeta'd,2016-10-16,5571,Mature,F/M,In-Progress,545,jimin,Anal Sex | Bottom Jimin | Butt Plugs | Cock Rings | Dildos | Dom/sub | Dry Orgasm | Mommy Kink | Overstimulation | Pegging | Reader-Insert | Rimming | Sex Toys | Smut | Sub Jimin | Sub!jimin | Submissive Jimin | overuse of Mommy kink | princess!jimin,"Park Jimin (BTS)/Reader, Park Jimin/Reader","['Anal Sex', 'Bottom Jimin', 'Butt Plugs', 'Cock Rings', 'Dildos', 'Dom/sub', 'Dry Orgasm', 'Mommy Kink', 'Overstimulation', 'Pegging', 'Reader-Insert', 'Rimming', 'Sex Toys', 'Smut', 'Sub Jimin', 'Sub!jimin', 'Submissive Jimin', 'overuse of Mommy kink', 'princess!jimin']","['Anal Sex', 'Butt Plugs', 'Cock Rings', 'Dildos', 'Dom/sub', 'Dry Orgasm', 'Overstimulation', 'Pegging', 'Reader-Insert', 'Rimming', 'Sex Toys', 'Smut']","['Bottom Jimin', 'Mommy Kink', 'Sub Jimin', 'Submissive Jimin']",[],"['bottom [MEMBER]', 'mommy kink', 'sub [MEMBER]', 'submissive [MEMBER]']",the hot secret,[MEMBER] definitely has a mommy kink and wants to be called princess and baby boy and nobody can convince me otherwise.,the hot secret [SEP] [MEMBER] definitely has a mommy kink and wants to be called princess and baby boy and nobody can convince me otherwise.,"anal sex, butt plugs, cock rings, dildos, dom/sub, dry orgasm, overstimulation, pegging, reader-insert, rimming, sex toys, smut, bottom [member], mommy kink, sub [member], submissive [member]",False,False
https://golemlab.eu/graph/6648625,skirt,Reader stumbles upon a shocking sight in the locker room one morning.,2016-04-24,6768,Explicit,F/M,Completed,508,jimin,Accidental Voyeurism | Explicit Language | Explicit Sexual Content | Sexual Content | Voyeurism,Park Jimin (BTS)/Reader,"['Accidental Voyeurism', 'Explicit Language', 'Explicit Sexual Content', 'Sexual Content', 'Voyeurism']","['Accidental Voyeurism', 'Explicit Language', 'Explicit Sexual Content', 'Sexual Content', 'Voyeurism']",[],[],[],skirt,reader stumbles upon a shocking sight in the locker room one morning.,skirt [SEP] reader stumbles upon a shocking sight in the locker room one morning.,"accidental voyeurism, explicit language, explicit sexual content, sexual content, voyeurism",False,False
https://golemlab.eu/graph/6611155,Caught,Everyone on Earth has a soulmate. You'll know your soulmate by the tattoo that appears on your forearm after they speak to you the first time. That tattoo will forever memorialize the first sentence they ever spoke to you.,2016-04-21,593,General Audiences,F/M,Completed,469,jimin,Alternate Universe - Soulmates | Jimin Sexy Stare | Soulmate-Identifying Marks | We All Know That Stare,Park Jimin (BTS)/Reader Series: First Words-Soulmates [5],"['Alternate Universe - Soulmates', 'Jimin Sexy Stare', 'Soulmate-Identifying Marks', 'We All Know That Stare']","['Alternate Universe - Soulmates', 'Soulmate-Identifying Marks']",['Jimin Sexy Stare'],[],['[MEMBER] sexy stare'],caught,everyone on earth has a soulmate. you'll know your soulmate by the tattoo that appears on your forearm after they speak to you the first time. that tattoo will forever memorialize the first sentence they ever spoke to you.,caught [SEP] everyone on earth has a soulmate. you'll know your soulmate by the tattoo that appears on your forearm after they speak to you the first time. that tattoo will forever memorialize the first sentence they ever spoke to you.,"alternate universe - soulmates, soulmate-identifying marks, [member] sexy stare",False,False
https://golemlab.eu/graph/15425976,Breaking of the Fast,"“Why don’t you want me?” It’s a simple question, and for once, Jimin has no answer. You can see his anger bristling, though – and Jimin is typically not one to be angry, not properly, at least. He is a cold anger. A quiet anger. Subdued, like a river frozen over and rushing in icy terror underneath. The teeth behind a closed mouth.",2018-07-25,4845,Explicit,F/M,Completed,448,jimin,Alternate Universe - Vampire | Blood Drinking | First Time | Human/Vampire Relationship | Mating Bites | Mating Rituals | Mind Meld | Rough Sex | Vampire Park Jimin | Vampire Sex,Park Jimin (BTS)/Reader Series: Vampire!Jimin [9],"['Alternate Universe - Vampire', 'Blood Drinking', 'First Time', 'Human/Vampire Relationship', 'Mating Bites', 'Mating Rituals', 'Mind Meld', 'Rough Sex', 'Vampire Park Jimin', 'Vampire Sex']","['Alternate Universe - Vampire', 'Blood Drinking', 'First Time', 'Human/Vampire Relationship', 'Mating Bites', 'Mating Rituals', 'Mind Meld', 'Rough Sex', 'Vampire Sex']",['Vampire Park Jimin'],[],['vampire [MEMBER]'],breaking of the fast,"“why don’t you want me?” it’s a simple question, and for once, [MEMBER] has no answer. you can see his anger bristling, though – and [MEMBER] is typically not one to be angry, not properly, at least. he is a cold anger. a quiet anger. subdued, like a river frozen over and rushing in icy terror underneath. the teeth behind a closed mouth.","breaking of the fast [SEP] “why don’t you want me?” it’s a simple question, and for once, [MEMBER] has no answer. you can see his anger bristling, though – and [MEMBER] is typically not one to be angry, not properly, at least. he is a cold anger. a quiet anger. subdued, like a river frozen over and rushing in icy terror underneath. the teeth behind a closed mouth.","alternate universe - vampire, blood drinking, first time, human/vampire relationship, mating bites, mating rituals, mind meld, rough sex, vampire sex, vampire [member]",False,False
https://golemlab.eu/graph/17088266,Would I choose you?,"Every year the graduating class of International Academy for Superheroes and Sidekicks are allocated to their future partner. They will work with their partner for the rest of their working lives. Jimin, the star of your academy and picked as the favourite to succeed in life, is not pleased when he is allocated to you, the school loser. Superhero!au. Jimin x reader",2018-12-21,36664,Teen And Up Audiences,F/M,Completed,426,jimin,Angst | Enemies to Friends to Lovers | Fluff | Romance | Sidekick!reader | Slow Burn | Unrequited Love | hero!jimin,Park Jimin (BTS)/Reader,"['Angst', 'Enemies to Friends to Lovers', 'Fluff', 'Romance', 'Sidekick!reader', 'Slow Burn', 'Unrequited Love', 'hero!jimin']","['Angst', 'Enemies to Friends to Lovers', 'Fluff', 'Romance', 'Slow Burn', 'Unrequited Love']",[],[],[],would i choose you?,"every year the graduating class of international academy for superheroes and sidekicks are allocated to their future partner. they will work with their partner for the rest of their working lives. [MEMBER], the star of your academy and picked as the favourite to succeed in life, is not pleased when he is allocated to you, the school loser. superhero!au. [MEMBER] x reader","would i choose you? [SEP] every year the graduating class of international academy for superheroes and sidekicks are allocated to their future partner. they will work with their partner for the rest of their working lives. [MEMBER], the star of your academy and picked as the favourite to succeed in life, is not pleased when he is allocated to you, the school loser. superhero!au. [MEMBER] x reader","angst, enemies to friends to lovers, fluff, romance, slow burn, unrequited love",False,False
https://golemlab.eu/graph/9920984,Heavy Petting,"When you come home from work, you're excited to give all your attention to your hybrid boyfriend since he was so very needy the same morning. But when you come home to him sleeping in your bed, not feeling like an intense makeout or cuddle session at all, you decide to finish your work instead. But when you're busy with something else again, Jimin realizes he actually does want your attention...Is it too late? Or will you give in to his cuteness?",2017-02-25,4087,Mature,F/M,Completed,421,jimin,Cat Ears | Cat/Human Hybrids | Catboy BTS | Catboy Park Jimin | Cathybrid BTS | Cathybrid Park Jimin | Dom/sub Undertones | Fluff and Smut | Hand Jobs | Heavy Petting | Hot Hybrid Sex | Hybrid - Freeform | Hybrid Park Jimin | Hybrid bts | Hybrid x human | Hybrid!AU | Oral Sex | Smut | Sub Park Jimin | Vaginal Fingering | catboy | catboy x human,Park Jimin (BTS)/Reader,"['Cat Ears', 'Cat/Human Hybrids', 'Catboy BTS', 'Catboy Park Jimin', 'Cathybrid BTS', 'Cathybrid Park Jimin', 'Dom/sub Undertones', 'Fluff and Smut', 'Hand Jobs', 'Heavy Petting', 'Hot Hybrid Sex', 'Hybrid - Freeform', 'Hybrid Park Jimin', 'Hybrid bts', 'Hybrid x human', 'Hybrid!AU', 'Oral Sex', 'Smut', 'Sub Park Jimin', 'Vaginal Fingering', 'catboy', 'catboy x human']","['Cat Ears', 'Cat/Human Hybrids', 'Dom/sub Undertones', 'Fluff and Smut', 'Hand Jobs', 'Heavy Petting', 'Oral Sex', 'Smut', 'Vaginal Fingering']","['Catboy BTS', 'Catboy Park Jimin', 'Cathybrid BTS', 'Cathybrid Park Jimin', 'Hot Hybrid Sex', 'Hybrid - Freeform', 'Hybrid Park Jimin', 'Hybrid!AU', 'Sub Park Jimin']",[],"['catboy bts', 'catboy [MEMBER]', 'cathybrid bts', 'cathybrid [MEMBER]', 'hot hybrid sex', 'hybrid - freeform', 'hybrid [MEMBER]', 'hybrid!au', 'sub [MEMBER]']",heavy petting,"when you come home from work, you're excited to give all your attention to your hybrid boyfriend since he was so very needy the same morning. but when you come home to him sleeping in your bed, not feeling like an intense makeout or cuddle session at all, you decide to finish your work instead. but when you're busy with something else again, [MEMBER] realizes he actually does want your attention...is it too late? or will you give in to his cuteness?","heavy petting [SEP] when you come home from work, you're excited to give all your attention to your hybrid boyfriend since he was so very needy the same morning. but when you come home to him sleeping in your bed, not feeling like an intense makeout or cuddle session at all, you decide to finish your work instead. but when you're busy with something else again, [MEMBER] realizes he actually does want your attention...is it too late? or will you give in to his cuteness?","cat ears, cat/human hybrids, dom/sub undertones, fluff and smut, hand jobs, heavy petting, oral sex, smut, vaginal fingering, catboy bts, catboy [member], cathybrid bts, cathybrid [member], hot hybrid sex, hybrid - freeform, hybrid [member], hybrid!au, sub [member]",False,False
https://golemlab.eu/graph/11689431,After All This,"It had been six years since I last saw him. He was out living his dream, traveling the world, but where was I? Alone. It wasn't always like that. It used to be better. He was with me, making my life a little brighter each day. But then he left. After six years, I would get to see Park Jimin again. But he wouldn't get to see me... ...or so I thought.",2017-08-02,46028,Teen And Up Audiences,F/M,Completed,420,jimin,AU | Alternate Universe - Childhood Friends | Anxiety | Arguing | Depression | Developing Relationship | Fluff | Fluff and Angst | Panic Attack | Stress | bangtan boys - Freeform | bipolar depression | bts - Freeform,Park Jimin (BTS)/Reader,"['AU', 'Alternate Universe - Childhood Friends', 'Anxiety', 'Arguing', 'Depression', 'Developing Relationship', 'Fluff', 'Fluff and Angst', 'Panic Attack', 'Stress', 'bangtan boys - Freeform', 'bipolar depression', 'bts - Freeform']","['Alternate Universe - Childhood Friends', 'Anxiety', 'Arguing', 'Depression', 'Developing Relationship', 'Fluff', 'Fluff and Angst']","['Panic Attack', 'Stress']",[],"['panic attack', 'stress']",after all this,"it had been six years since i last saw him. he was out living his dream, traveling the world, but where was i? alone. it wasn't always like that. it used to be better. he was with me, making my life a little brighter each day. but then he left. after six years, i would get to see [MEMBER] again. but he wouldn't get to see me... ...or so i thought.","after all this [SEP] it had been six years since i last saw him. he was out living his dream, traveling the world, but where was i? alone. it wasn't always like that. it used to be better. he was with me, making my life a little brighter each day. but then he left. after six years, i would get to see [MEMBER] again. but he wouldn't get to see me... ...or so i thought.","alternate universe - childhood friends, anxiety, arguing, depression, developing relationship, fluff, fluff and angst, panic attack, stress",False,False
