s,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,kudos,member,keyword,relationship,tag_list,canonical_tags,noncanonical_tags,filtered_noncanonical_tags,bts_tags
https://golemlab.eu/graph/16869175,Heat,"He was there when you needed him most, and now, he needs you.",2018-12-05,9920,Explicit,F/M,Completed,618,seokjin,Alpha/Beta/Omega Dynamics | Knotting | Mating Cycles/In Heat | Smut,Kim Seokjin | Jin/Reader,"['Alpha/Beta/Omega Dynamics', 'Knotting', 'Mating Cycles/In Heat', 'Smut']","['Alpha/Beta/Omega Dynamics', 'Knotting', 'Mating Cycles/In Heat', 'Smut']",[],[],[]
https://golemlab.eu/graph/16837549,a lullaby on canvas,"Your neighbour, as far as you knew, was mute. You weren’t sure what exactly had happened, but you figured that perhaps it contributed to the stunning works he created with paints and clay. You were curious, and that curiosity led you to grow closer – but perhaps, in growing closer and getting to know him, you were getting a little in over your head.",2018-12-04,15011,Explicit,F/M,Completed,611,seokjin,AU | Alternate Universe | Alternate Universe - Neighbors | Alternate Universe - Supernatural Creatures | Alternate Universe - Supernatural Elements | Artist AU | Artist Kim Seokjin | Jin | Choking | Creampie | Cunnilingus | Fluff and Smut | Happy Jin Day!!! | Hickeys | Light Choking | Marking | Multiple Orgasms | Neighbour AU | Neighbour Kim Seokin | Jin | Oral Sex | Orgasm Control | Orgasm Delay/Denial | Siren Kim Seokjin | Jin | Sirens | Smut | Unprotected Sex | Vaginal Fingering | Vaginal Sex | throat fixation,Kim Seokjin | Jin/Reader,"['AU', 'Alternate Universe', 'Alternate Universe - Neighbors', 'Alternate Universe - Supernatural Creatures', 'Alternate Universe - Supernatural Elements', 'Artist AU', 'Artist Kim Seokjin', 'Jin', 'Choking', 'Creampie', 'Cunnilingus', 'Fluff and Smut', 'Happy Jin Day!!!', 'Hickeys', 'Light Choking', 'Marking', 'Multiple Orgasms', 'Neighbour AU', 'Neighbour Kim Seokin', 'Jin', 'Oral Sex', 'Orgasm Control', 'Orgasm Delay/Denial', 'Siren Kim Seokjin', 'Jin', 'Sirens', 'Smut', 'Unprotected Sex', 'Vaginal Fingering', 'Vaginal Sex', 'throat fixation']","['Alternate Universe', 'Alternate Universe - Neighbors', 'Alternate Universe - Supernatural Elements', 'Choking', 'Creampie', 'Cunnilingus', 'Fluff and Smut', 'Marking', 'Multiple Orgasms', 'Oral Sex', 'Orgasm Control', 'Orgasm Delay/Denial', 'Sirens', 'Smut', 'Vaginal Fingering', 'Vaginal Sex']","['AU', 'Alternate Universe - Supernatural Creatures', 'Artist AU', 'Artist Kim Seokjin', 'Jin', 'Happy Jin Day!!!', 'Hickeys', 'Light Choking', 'Neighbour AU', 'Neighbour Kim Seokin', 'Jin', 'Siren Kim Seokjin', 'Jin', 'Unprotected Sex', 'throat fixation']","['Alternate Universe - Supernatural Creatures', 'Artist AU', 'Artist Kim Seokjin', 'Jin', 'Happy Jin Day!!!', 'Hickeys', 'Light Choking', 'Neighbour AU', 'Neighbour Kim Seokin', 'Jin', 'Siren Kim Seokjin', 'Jin', 'Unprotected Sex']",[]
https://golemlab.eu/graph/37561735,9 Months to Fall in Love,"It seems like everyone around you is either already in love, or in the process of falling, and while normally you couldn’t give a damn, finding out the co-worker you’ve had a teensy crush on is dating someone else at the office seems to sucker punch you right in the gut. It’s stupid, and you’re irritated at yourself, but you can’t seem to shake out of the funk you’ve fallen face first in. Feeling lonely and heartsore, and mad for no reason, during drinks with your best friend you spot a man at the bar. Tequila confident, you make your way over to the stranger, and successfully one thing leads to another. The next morning you leave before he’s woken up, feeling satisfied in one way, but still as discontented as ever. Telling yourself it was an inebriated mistake, you quickly try to forget about it. Only, three weeks later that night comes back to haunt you – in a very unescapable way…",2022-03-06,128157,Explicit,F/M,In-Progress,547,seokjin,Angst | Dual POV | Fainting | Fingering | Kissing | Mentions of Abortion | Morning Sickness | Multiple Orgasms | Oral Sex | Prenatal appointments | Romance | Semi intoxicated Sex | Sexual propositioning | Slow Burn | Smut | Strangers to Lovers | Toxic coworker | Unplanned Pregnancy | allusions to narcissism | mention/worry of miscarriage | mentions of parent death | mentions of unprotected sex | mentions of vomiting | minor weight mentions,"Kim Seokjin | Jin/Reader, Kim Seokjin | Jin/You Series: 9 Months to Fall in Love [1]","['Angst', 'Dual POV', 'Fainting', 'Fingering', 'Kissing', 'Mentions of Abortion', 'Morning Sickness', 'Multiple Orgasms', 'Oral Sex', 'Prenatal appointments', 'Romance', 'Semi intoxicated Sex', 'Sexual propositioning', 'Slow Burn', 'Smut', 'Strangers to Lovers', 'Toxic coworker', 'Unplanned Pregnancy', 'allusions to narcissism', 'mention/worry of miscarriage', 'mentions of parent death', 'mentions of unprotected sex', 'mentions of vomiting', 'minor weight mentions']","['Angst', 'Fainting', 'Kissing', 'Morning Sickness', 'Multiple Orgasms', 'Oral Sex', 'Romance', 'Slow Burn', 'Smut', 'Strangers to Lovers', 'Unplanned Pregnancy']","['Dual POV', 'Fingering', 'Mentions of Abortion', 'Prenatal appointments', 'Semi intoxicated Sex', 'Sexual propositioning', 'Toxic coworker', 'allusions to narcissism', 'mention/worry of miscarriage', 'mentions of parent death', 'mentions of unprotected sex', 'mentions of vomiting', 'minor weight mentions']","['Dual POV', 'Fingering']",[]
https://golemlab.eu/graph/16678213,Safe with Me,"Hybrid AU: SeokjinXReader: You’ve always wanted to help people, and suddenly, you’ve been given the chance to help three hybrids who are down on their luck: Jimin, a cat hybrid, Jungkook, a bunny hybrid, and Jin, a dog-hybrid. Opening your home and your heart to these three, anything could happen. Including you getting hurt.",2018-11-20,59617,Teen And Up Audiences,F/M,Completed,484,seokjin,Adopted BTS | Ages changed | Capuchin Taehyung | Cat Hybrid Min Yoongi | Suga | Cat Hybrid Park Jimin (BTS) | Cross-Posted on Tumblr | Eventual Dad Seokjin | Foster Dad Seokjin | Hybrid Jeon Jungkook | Hybrid Jung Hoseok | J-Hope | Hybrid Kim Namjoon | RM | Hybrid Kim Seokjin | Jin | Hybrid Kim Taehyung | V | Hybrid Park Jimin | Hybrid Rights | Hybrids | Innuendos but nothing more | Jin takes care of everyone | Kim Seokjin | Jin is a Good Hyung | References to Abuse (all kinds) | Young Jimin | jimin is a ball of fluff | jungkook is protective | young jungkook,Kim Seokjin | Jin/Reader Series: The Sanctuary [1],"['Adopted BTS', 'Ages changed', 'Capuchin Taehyung', 'Cat Hybrid Min Yoongi', 'Suga', 'Cat Hybrid Park Jimin (BTS)', 'Cross-Posted on Tumblr', 'Eventual Dad Seokjin', 'Foster Dad Seokjin', 'Hybrid Jeon Jungkook', 'Hybrid Jung Hoseok', 'J-Hope', 'Hybrid Kim Namjoon', 'RM', 'Hybrid Kim Seokjin', 'Jin', 'Hybrid Kim Taehyung', 'V', 'Hybrid Park Jimin', 'Hybrid Rights', 'Hybrids', 'Innuendos but nothing more', 'Jin takes care of everyone', 'Kim Seokjin', 'Jin is a Good Hyung', 'References to Abuse (all kinds)', 'Young Jimin', 'jimin is a ball of fluff', 'jungkook is protective', 'young jungkook']","['Cross-Posted on Tumblr', 'Hybrids']","['Adopted BTS', 'Ages changed', 'Capuchin Taehyung', 'Cat Hybrid Min Yoongi', 'Suga', 'Eventual Dad Seokjin', 'Foster Dad Seokjin', 'Hybrid Jung Hoseok', 'J-Hope', 'Hybrid Kim Namjoon', 'RM', 'Hybrid Kim Seokjin', 'Jin', 'Hybrid Kim Taehyung', 'V', 'Hybrid Park Jimin', 'Hybrid Rights', 'Innuendos but nothing more', 'Jin takes care of everyone', 'Kim Seokjin', 'Jin is a Good Hyung', 'References to Abuse (all kinds)', 'Young Jimin', 'jimin is a ball of fluff', 'jungkook is protective', 'young jungkook']","['Adopted BTS', 'Capuchin Taehyung', 'Cat Hybrid Min Yoongi', 'Suga', 'Eventual Dad Seokjin', 'Foster Dad Seokjin', 'Hybrid Jung Hoseok', 'J-Hope', 'Hybrid Kim Namjoon', 'Hybrid Kim Seokjin', 'Jin', 'Hybrid Kim Taehyung', 'Hybrid Park Jimin', 'Hybrid Rights', 'Kim Seokjin', 'Young Jimin']","['Cat Hybrid Park Jimin (BTS)', 'Hybrid Jeon Jungkook']"
https://golemlab.eu/graph/10238423,The Stork,"Being a single mom hadn't been the plan, but that was okay. You were going to be fine, somehow, because you had to be. Meeting an odd and handsome stranger in the park makes that prospect a little bit easier.",2017-03-12,4516,Teen And Up Audiences,F/M,Completed,473,seokjin,Angst and Feels | Domestic Fluff | Emotional Hurt/Comfort | Families of Choice | Fluff and Angst | Single Parents | Strangers | Vignette,Kim Seokjin | Jin/Reader,"['Angst and Feels', 'Domestic Fluff', 'Emotional Hurt/Comfort', 'Families of Choice', 'Fluff and Angst', 'Single Parents', 'Strangers', 'Vignette']","['Angst and Feels', 'Domestic Fluff', 'Emotional Hurt/Comfort', 'Families of Choice', 'Fluff and Angst', 'Single Parents', 'Strangers', 'Vignette']",[],[],[]
https://golemlab.eu/graph/14624220,Pink Panther,"The one where your boss, Kim Seokjin, tries to show you how beautiful you are.",2018-05-12,13183,Explicit,F/M,Completed,433,seokjin,Dirty Talk | Dog Hybrid Kim Taehyung | V | Hybrid Kim Seokjin | Jin | Kim Seokjin | Jin-centric | Mentions of Breeding | Mentions of impregnation | Oral Sex | Semi-Public Sex | Sex | Unprotected Sex | oral sex (female receiving),Kim Seokjin | Jin/Reader,"['Dirty Talk', 'Dog Hybrid Kim Taehyung', 'V', 'Hybrid Kim Seokjin', 'Jin', 'Kim Seokjin', 'Jin-centric', 'Mentions of Breeding', 'Mentions of impregnation', 'Oral Sex', 'Semi-Public Sex', 'Sex', 'Unprotected Sex', 'oral sex (female receiving)']","['Dirty Talk', 'Oral Sex', 'Semi-Public Sex', 'Sex']","['Dog Hybrid Kim Taehyung', 'V', 'Hybrid Kim Seokjin', 'Jin', 'Kim Seokjin', 'Jin-centric', 'Mentions of Breeding', 'Mentions of impregnation', 'Unprotected Sex', 'oral sex (female receiving)']","['Dog Hybrid Kim Taehyung', 'Hybrid Kim Seokjin', 'Jin', 'Kim Seokjin', 'Unprotected Sex']",[]
https://golemlab.eu/graph/6575218,Salt and Soulmates,Everyone on Earth has a soulmate. You'll know your soulmate by the tattoo that appears on your forearm after they speak to you the first time. That tattoo will forever memorialize the first sentence they ever spoke to you.,2016-04-17,777,General Audiences,F/M,Completed,381,seokjin,Alternate Universe - Soulmates | Namjoon is only there for a second | Soulmate-Identifying Marks,Kim Seokjin | Jin/Reader Series: First Words-Soulmates [1],"['Alternate Universe - Soulmates', 'Namjoon is only there for a second', 'Soulmate-Identifying Marks']","['Alternate Universe - Soulmates', 'Soulmate-Identifying Marks']",['Namjoon is only there for a second'],[],[]
https://golemlab.eu/graph/6372283,Cinema (Jin x Reader Smut),"At a movie premier you meet your ex / good friend, Jin. As complicated as your relationship with him is, it get even more complicated when he convinces you to ditch your date and spend some time with him.",2016-03-27,4266,Explicit,F/M,Completed,366,seokjin,Alcohol | Bathroom Sex | Complicated Relationships | Cowgirl Position | Fluff and Smut | Love Confessions | Mirror Sex | Romance | Rough Sex | Smut | Sneaking Around,Kim Seokjin | Jin/Reader,"['Alcohol', 'Bathroom Sex', 'Complicated Relationships', 'Cowgirl Position', 'Fluff and Smut', 'Love Confessions', 'Mirror Sex', 'Romance', 'Rough Sex', 'Smut', 'Sneaking Around']","['Alcohol', 'Bathroom Sex', 'Complicated Relationships', 'Cowgirl Position', 'Fluff and Smut', 'Love Confessions', 'Mirror Sex', 'Romance', 'Rough Sex', 'Smut', 'Sneaking Around']",[],[],[]
https://golemlab.eu/graph/7102330,in every life i will find your shoulder to cry on,"The first time, he is your pool boy.",2016-06-05,2838,Teen And Up Audiences,F/M,Completed,343,seokjin,Alternate Universe - Reincarnation | Angst with a Happy Ending | Best Friends | Coffee Shops | Fluff and Angst | Historical | Multi-Era | Past Lives | Puppy Love | Reincarnation | Soulmates | Teacher-Student Relationship,Kim Seokjin | Jin/Reader,"['Alternate Universe - Reincarnation', 'Angst with a Happy Ending', 'Best Friends', 'Coffee Shops', 'Fluff and Angst', 'Historical', 'Multi-Era', 'Past Lives', 'Puppy Love', 'Reincarnation', 'Soulmates', 'Teacher-Student Relationship']","['Alternate Universe - Reincarnation', 'Angst with a Happy Ending', 'Best Friends', 'Coffee Shops', 'Fluff and Angst', 'Historical', 'Multi-Era', 'Past Lives', 'Puppy Love', 'Reincarnation', 'Soulmates', 'Teacher-Student Relationship']",[],[],[]
https://golemlab.eu/graph/17578823,Movie Night,"“Sweetheart, the only person embarrassed about anything remotely sexual, is you .” You and your stubborn ass take offense and ultimately decide to prove Jin wrong. What you don’t expect, however, is that two can play at this game. [Alternatively: You both play with fire and he ends up fucking your brains out.]",2019-01-28,8743,Explicit,F/M,Completed,338,seokjin,Banter | Best Friend Jin | Best Friends | Blow Jobs | Dirty Talk | Explicit Sexual Content | Fingerfucking | Friends to Lovers | Jin made reader horny | Light Dom/sub | Multiple Orgasms | Oral Sex | Rough Sex | Sexual Tension | and reader wants revenge | dom!jin | sub!Reader | yoongi is so confuSED,Kim Seokjin | Jin/Reader Series: The Friend AU Series [1],"['Banter', 'Best Friend Jin', 'Best Friends', 'Blow Jobs', 'Dirty Talk', 'Explicit Sexual Content', 'Fingerfucking', 'Friends to Lovers', 'Jin made reader horny', 'Light Dom/sub', 'Multiple Orgasms', 'Oral Sex', 'Rough Sex', 'Sexual Tension', 'and reader wants revenge', 'dom!jin', 'sub!Reader', 'yoongi is so confuSED']","['Banter', 'Best Friends', 'Blow Jobs', 'Dirty Talk', 'Explicit Sexual Content', 'Fingerfucking', 'Friends to Lovers', 'Light Dom/sub', 'Multiple Orgasms', 'Oral Sex', 'Rough Sex', 'Sexual Tension']","['Best Friend Jin', 'Jin made reader horny', 'and reader wants revenge', 'dom!jin', 'sub!Reader', 'yoongi is so confuSED']",['Best Friend Jin'],[]
https://golemlab.eu/graph/16897086,Ready,"Y/n wakes up with a pain in her stomach and a need to be bred by her mate, Alpha Jin.",2018-12-07,3756,Explicit,F/M,Completed,315,seokjin,Breeding Kink | Creampie | Hair-pulling | Impregnation Kink | Knotting | Pregnancy | Spanking | Unprotected Sex | Wolf AU,Kim Seokjin | Jin/Reader,"['Breeding Kink', 'Creampie', 'Hair-pulling', 'Impregnation Kink', 'Knotting', 'Pregnancy', 'Spanking', 'Unprotected Sex', 'Wolf AU']","['Creampie', 'Hair-pulling', 'Knotting', 'Pregnancy', 'Spanking']","['Breeding Kink', 'Impregnation Kink', 'Unprotected Sex', 'Wolf AU']","['Breeding Kink', 'Impregnation Kink', 'Unprotected Sex', 'Wolf AU']",[]
