s,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,kudos,member,keyword,relationship,tag_list,canonical_tags,non-canonical_tags,bts_tags,bts_tags_masked,title_masked,summary_masked,text_masked,tags_masked,summary_flagged,tags_flagged
https://golemlab.eu/graph/17714183,Owner Training,A stray hybrid has claimed you and you're not quite sure who the owner is here. (AKA The one where Yoongi breaks into your house and says he lives there now),2019-02-09,23157,Explicit,F/M,Completed,1678,yoongi,Alternate Universe - Hybrid | Cat Hybrid Min Yoongi | Suga | Cat/Human Hybrids | Dog Hybrid Kim Taehyung | V | Fluff | Hybrid Min Yoongi | Suga | Hybrids | Implied though - Freeform | Min Yoongi | Suga Is a Little Shit | Min Yoongi | Suga Needs a Hug | Now with smut! | One Shot Collection | Recreational Drug Use | Sassy Min Yoongi | Suga | Unprotected Sex | Yoongi goes into heat | Yoongi's just on the nip | impreg kink | side vmin - Freeform,Min Yoongi | Suga/Reader Series: How To Train Your Owner [1],"['Alternate Universe - Hybrid', 'Cat Hybrid Min Yoongi', 'Suga', 'Cat/Human Hybrids', 'Dog Hybrid Kim Taehyung', 'V', 'Fluff', 'Hybrid Min Yoongi', 'Suga', 'Hybrids', 'Implied though - Freeform', 'Min Yoongi', 'Suga Is a Little Shit', 'Min Yoongi', 'Suga Needs a Hug', 'Now with smut!', 'One Shot Collection', 'Recreational Drug Use', 'Sassy Min Yoongi', 'Suga', 'Unprotected Sex', 'Yoongi goes into heat', ""Yoongi's just on the nip"", 'impreg kink', 'side vmin - Freeform']","['Cat/Human Hybrids', 'Fluff', 'Hybrids', 'One Shot Collection', 'Recreational Drug Use']","['Alternate Universe - Hybrid', 'Cat Hybrid Min Yoongi', 'Suga', 'Dog Hybrid Kim Taehyung', 'Hybrid Min Yoongi', 'Suga', 'Min Yoongi', 'Min Yoongi', 'Sassy Min Yoongi', 'Suga', 'Unprotected Sex']",[],"['alternate universe - hybrid', 'cat hybrid [MEMBER]', '[MEMBER]', 'dog hybrid [MEMBER]', 'hybrid [MEMBER]', '[MEMBER]', '[MEMBER]', '[MEMBER]', 'sassy [MEMBER]', '[MEMBER]', 'unprotected sex']",owner training,a stray hybrid has claimed you and you're not quite sure who the owner is here. (aka the one where [MEMBER] breaks into your house and says he lives there now),owner training [SEP] a stray hybrid has claimed you and you're not quite sure who the owner is here. (aka the one where [MEMBER] breaks into your house and says he lives there now),"cat/human hybrids, fluff, hybrids, one shot collection, recreational drug use, alternate universe - hybrid, cat hybrid [member], [member], dog hybrid [member], hybrid [member], [member], [member], [member], sassy [member], [member], unprotected sex",False,False
https://golemlab.eu/graph/11689875,First Words,Everyone has a tattoo on their wrist of the first words their soulmate will say to them. But what happens when one person in the relationship is mute? Based on a tumblr prompt.,2017-08-03,33271,General Audiences,F/M,Completed,1237,yoongi,Alternate Universe - Soulmates | Cute Min Yoongi | Suga | Depressed Min Yoongi | Suga | Feels | Grumpy Min Yoongi | Suga | I Tried | Reader-Insert | Soulmate-Identifying Marks | Soulmates,"Min Yoongi | Suga/Reader, Min Yoongi | Suga/You","['Alternate Universe - Soulmates', 'Cute Min Yoongi', 'Suga', 'Depressed Min Yoongi', 'Suga', 'Feels', 'Grumpy Min Yoongi', 'Suga', 'I Tried', 'Reader-Insert', 'Soulmate-Identifying Marks', 'Soulmates']","['Alternate Universe - Soulmates', 'Feels', 'I Tried', 'Reader-Insert', 'Soulmate-Identifying Marks', 'Soulmates']","['Cute Min Yoongi', 'Suga', 'Depressed Min Yoongi', 'Suga', 'Grumpy Min Yoongi', 'Suga']",[],"['cute [MEMBER]', '[MEMBER]', 'depressed [MEMBER]', '[MEMBER]', 'grumpy [MEMBER]', '[MEMBER]']",first words,everyone has a tattoo on their wrist of the first words their soulmate will say to them. but what happens when one person in the relationship is mute?,first words [SEP] everyone has a tattoo on their wrist of the first words their soulmate will say to them. but what happens when one person in the relationship is mute?,"alternate universe - soulmates, feels, reader-insert, soulmate-identifying marks, soulmates, cute [member], [member], depressed [member], [member], grumpy [member], [member]",False,False
https://golemlab.eu/graph/15575943,Protection Squad,A kind woman offers you a place of work at the animal shelter she owns and one of the animals seems to take a strong liking to you. You thought Suga was just like any other cat you happened to meet in therapy. You realise how wrong you were when he reveals his true self to you in order to do everything he can to prevent anything hurting you ever again.,2018-08-05,42319,Mature,F/M,Completed,886,yoongi,Bird Hybrid Jeon Jungkook | Bird Hybrid Park Jimin | Cat Hybrid Min Yoongi | Suga | Dog Hybrid Jung Hoseok | J-Hope | Dog hybrid kim namjoon | Fennec Fox Hybrid Kim Taehyung | Hedgehog Hybrid Kim Seokjin | Hybrid AU | Hybrid Jeon Jungkook | Hybrid Jung Hoseok | J-Hope | Hybrid Kim Seokjin | Jin | Hybrid Kim Taehyung | V | Hybrid Min Yoongi | Suga | Hybrid Park Jimin | Hyrbid Kim Namjoon | Jeon Jungkook Bird Shapeshifter | Jeon Jungkook Shapeshifter | Jung Hoseok Dog Shapeshifter | Jung Hoseok Shapeshifter | Kim Namjoon Dog Shapeshifter | Kim Namjoon Shapeshifter | Kim Seokjin Hedgehog Shapeshifter | Kim Seokjin Shapeshifter | Kim Taehyung Fennec Fox Shapeshifter | Kim Taehyung Shapeshifter | Magic AU | Mental Health Themes | Min Yoongi cat shapeshifter | Min Yoongi shapeshifter | Park Jimin Bird Shapeshifter | Park Jimin Shapeshifter | Soulmate AU | Strong depression/anxiety themes | Suicide Attempt | possible triggers | shapeshifter AU | soulmate | warnings in notes,"Min Yoongi | Suga/Reader, Or is it? :)) Series: Protection Squad [1]","['Bird Hybrid Jeon Jungkook', 'Bird Hybrid Park Jimin', 'Cat Hybrid Min Yoongi', 'Suga', 'Dog Hybrid Jung Hoseok', 'J-Hope', 'Dog hybrid kim namjoon', 'Fennec Fox Hybrid Kim Taehyung', 'Hedgehog Hybrid Kim Seokjin', 'Hybrid AU', 'Hybrid Jeon Jungkook', 'Hybrid Jung Hoseok', 'J-Hope', 'Hybrid Kim Seokjin', 'Jin', 'Hybrid Kim Taehyung', 'V', 'Hybrid Min Yoongi', 'Suga', 'Hybrid Park Jimin', 'Hyrbid Kim Namjoon', 'Jeon Jungkook Bird Shapeshifter', 'Jeon Jungkook Shapeshifter', 'Jung Hoseok Dog Shapeshifter', 'Jung Hoseok Shapeshifter', 'Kim Namjoon Dog Shapeshifter', 'Kim Namjoon Shapeshifter', 'Kim Seokjin Hedgehog Shapeshifter', 'Kim Seokjin Shapeshifter', 'Kim Taehyung Fennec Fox Shapeshifter', 'Kim Taehyung Shapeshifter', 'Magic AU', 'Mental Health Themes', 'Min Yoongi cat shapeshifter', 'Min Yoongi shapeshifter', 'Park Jimin Bird Shapeshifter', 'Park Jimin Shapeshifter', 'Soulmate AU', 'Strong depression/anxiety themes', 'Suicide Attempt', 'possible triggers', 'shapeshifter AU', 'soulmate', 'warnings in notes']",['Suicide Attempt'],"['Bird Hybrid Jeon Jungkook', 'Bird Hybrid Park Jimin', 'Cat Hybrid Min Yoongi', 'Suga', 'Dog Hybrid Jung Hoseok', 'J-Hope', 'Hedgehog Hybrid Kim Seokjin', 'Hybrid AU', 'Hybrid Jung Hoseok', 'J-Hope', 'Hybrid Kim Seokjin', 'Jin', 'Hybrid Kim Taehyung', 'Hybrid Min Yoongi', 'Suga', 'Hybrid Park Jimin', 'Hyrbid Kim Namjoon', 'Jeon Jungkook Bird Shapeshifter', 'Jeon Jungkook Shapeshifter', 'Jung Hoseok Dog Shapeshifter', 'Jung Hoseok Shapeshifter', 'Kim Namjoon Dog Shapeshifter', 'Kim Namjoon Shapeshifter', 'Kim Seokjin Hedgehog Shapeshifter', 'Kim Seokjin Shapeshifter', 'Kim Taehyung Shapeshifter', 'Magic AU', 'Mental Health Themes', 'Park Jimin Bird Shapeshifter', 'Park Jimin Shapeshifter', 'Soulmate AU']",['Hybrid Jeon Jungkook'],"['hybrid [MEMBER]', 'bird hybrid [MEMBER]', 'bird hybrid [MEMBER]', 'cat hybrid [MEMBER]', '[MEMBER]', 'dog hybrid [MEMBER]', '[MEMBER]', 'hedgehog hybrid [MEMBER]', 'hybrid au', 'hybrid [MEMBER]', '[MEMBER]', 'hybrid [MEMBER]', '[MEMBER]', 'hybrid [MEMBER]', 'hybrid [MEMBER]', '[MEMBER]', 'hybrid [MEMBER]', 'hyrbid [MEMBER]', '[MEMBER] bird shapeshifter', '[MEMBER] shapeshifter', '[MEMBER] dog shapeshifter', '[MEMBER] shapeshifter', '[MEMBER] dog shapeshifter', '[MEMBER] shapeshifter', '[MEMBER] hedgehog shapeshifter', '[MEMBER] shapeshifter', '[MEMBER] shapeshifter', 'magic au', 'mental health themes', '[MEMBER] bird shapeshifter', '[MEMBER] shapeshifter', 'soulmate au']",protection squad,a kind woman offers you a place of work at the animal shelter she owns and one of the animals seems to take a strong liking to you. you thought [MEMBER] was just like any other cat you happened to meet in therapy. you realise how wrong you were when he reveals his true self to you in order to do everything he can to prevent anything hurting you ever again.,protection squad [SEP] a kind woman offers you a place of work at the animal shelter she owns and one of the animals seems to take a strong liking to you. you thought [MEMBER] was just like any other cat you happened to meet in therapy. you realise how wrong you were when he reveals his true self to you in order to do everything he can to prevent anything hurting you ever again.,"suicide attempt, hybrid [member], bird hybrid [member], bird hybrid [member], cat hybrid [member], [member], dog hybrid [member], [member], hedgehog hybrid [member], hybrid au, hybrid [member], [member], hybrid [member], [member], hybrid [member], hybrid [member], [member], hybrid [member], hyrbid [member], [member] bird shapeshifter, [member] shapeshifter, [member] dog shapeshifter, [member] shapeshifter, [member] dog shapeshifter, [member] shapeshifter, [member] hedgehog shapeshifter, [member] shapeshifter, [member] shapeshifter, magic au, mental health themes, [member] bird shapeshifter, [member] shapeshifter, soulmate au",False,False
https://golemlab.eu/graph/13182267,Bet I Can Satisfy You,"“That one hurt, huh?” you hear Yoongi’s voice say nonchalantly from behind. He sounds terribly far above you and for the first time you realize with shameful clarity how pathetic you must look right now--willingly face down on the floor, stripped to your girlish undergarments while Min Yoongi canes your ass. “What number are you on?” he prompts. For a second you fear that you forgot already, but thankfully it comes back. “Seven, sir.” “Good girl.” Schwack! ************************ Multi-chapter explicit Dominant Yoongi x Masochist Reader to fill the prompt: ""Reader is a hard pain slut who has never been satisfied by bdsm scenes with previous partners. Now in a loving relationship with Yoongi, they decide to start trying kinky shit. Yoongi is determined to satisfy his girl's needs by any means necessary.""",2017-12-28,19928,Explicit,F/M,Completed,870,yoongi,Aftercare | Anal Fingering | Anal Play | Begging | Blackmail | Blow Jobs | Bondage | Breathplay | Caning | Consensual Kink | Cumming without permission | Deepthroating | Degradation | Dominance | Double Penetration | Duct Tape | Edgeplay | Established Relationship | Face Slapping | Give the 2nd person POV a chance guys | Heavy BDSM | Hurt/Comfort | Masochism | Masochistic!Reader | Multiple Orgasms | Oral Sex | Painplay | Plot What Plot/Porn Without Plot | Punishment | Rough Sex | Sex Toys | Slut Shaming | Spanking | Subspace | Three Holes Filled | Top Min Yoongi | Suga | Verbal Humiliation | Vibrators | Whipping | Yoongi is an A+ Dom | authentic bdsm | dominant yoongi | not using a condom | post sex snuggles | sadistic!minyoongi | safe words,Min Yoongi | Suga/Reader Series: fics about working through hardcore kinks [1],"['Aftercare', 'Anal Fingering', 'Anal Play', 'Begging', 'Blackmail', 'Blow Jobs', 'Bondage', 'Breathplay', 'Caning', 'Consensual Kink', 'Cumming without permission', 'Deepthroating', 'Degradation', 'Dominance', 'Double Penetration', 'Duct Tape', 'Edgeplay', 'Established Relationship', 'Face Slapping', 'Give the 2nd person POV a chance guys', 'Heavy BDSM', 'Hurt/Comfort', 'Masochism', 'Masochistic!Reader', 'Multiple Orgasms', 'Oral Sex', 'Painplay', 'Plot What Plot/Porn Without Plot', 'Punishment', 'Rough Sex', 'Sex Toys', 'Slut Shaming', 'Spanking', 'Subspace', 'Three Holes Filled', 'Top Min Yoongi', 'Suga', 'Verbal Humiliation', 'Vibrators', 'Whipping', 'Yoongi is an A+ Dom', 'authentic bdsm', 'dominant yoongi', 'not using a condom', 'post sex snuggles', 'sadistic!minyoongi', 'safe words']","['Aftercare', 'Anal Fingering', 'Anal Play', 'Begging', 'Blackmail', 'Blow Jobs', 'Bondage', 'Breathplay', 'Caning', 'Consensual Kink', 'Deepthroating', 'Dominance', 'Double Penetration', 'Duct Tape', 'Edgeplay', 'Established Relationship', 'Face Slapping', 'Heavy BDSM', 'Hurt/Comfort', 'Masochism', 'Multiple Orgasms', 'Oral Sex', 'Painplay', 'Plot What Plot/Porn Without Plot', 'Punishment', 'Rough Sex', 'Sex Toys', 'Slut Shaming', 'Spanking', 'Subspace', 'Verbal Humiliation', 'Vibrators', 'Whipping']","['Degradation', 'Masochistic!Reader', 'Three Holes Filled', 'Top Min Yoongi', 'Suga']",[],"['degradation', 'masochistic!reader', 'three holes filled', 'top [MEMBER]', '[MEMBER]']",bet i can satisfy you,"“that one hurt, huh?” you hear [MEMBER] voice say nonchalantly from behind. he sounds terribly far above you and for the first time you realize with shameful clarity how pathetic you must look right now--willingly face down on the floor, stripped to your girlish undergarments while [MEMBER] canes your ass. “what number are you on?” he prompts. for a second you fear that you forgot already, but thankfully it comes back. “seven, sir.” “good girl.” schwack!","bet i can satisfy you [SEP] “that one hurt, huh?” you hear [MEMBER] voice say nonchalantly from behind. he sounds terribly far above you and for the first time you realize with shameful clarity how pathetic you must look right now--willingly face down on the floor, stripped to your girlish undergarments while [MEMBER] canes your ass. “what number are you on?” he prompts. for a second you fear that you forgot already, but thankfully it comes back. “seven, sir.” “good girl.” schwack!","aftercare, anal fingering, anal play, begging, blackmail, blow jobs, bondage, breathplay, caning, consensual kink, deepthroating, dominance, double penetration, duct tape, edgeplay, established relationship, face slapping, heavy bdsm, hurt/comfort, masochism, multiple orgasms, oral sex, painplay, plot what plot/porn without plot, punishment, rough sex, sex toys, slut shaming, spanking, subspace, verbal humiliation, vibrators, whipping, degradation, masochistic!reader, three holes filled, top [member], [member]",False,False
https://golemlab.eu/graph/7100920,Intoxicating,"REQUEST: “Could you maybe do one where you do something stupid, like put yourself at risk or something, and he scolds you, and you fight, and it can either end in cuteness or smut, or both?”",2016-06-05,6547,Teen And Up Audiences,F/M,Completed,809,yoongi,Clubbing | Drunk Texting | Implied Sexual Content | Request Meme | Roommates | Sexual Tension,Min Yoongi | Suga/Reader,"['Clubbing', 'Drunk Texting', 'Implied Sexual Content', 'Request Meme', 'Roommates', 'Sexual Tension']","['Clubbing', 'Drunk Texting', 'Implied Sexual Content', 'Request Meme', 'Roommates', 'Sexual Tension']",[],[],[],intoxicating,"could you maybe do one where you do something stupid, like put yourself at risk or something, and he scolds you, and you fight, and it can either end in cuteness or smut, or both?","intoxicating [SEP] could you maybe do one where you do something stupid, like put yourself at risk or something, and he scolds you, and you fight, and it can either end in cuteness or smut, or both?","clubbing, drunk texting, implied sexual content, request meme, roommates, sexual tension",False,False
https://golemlab.eu/graph/31682261,mono/stereo,You've got big plans for your career in the music industry - and the confidence to follow-through on them. You leap at the chance to flex your abilities and pursue your ideals as a producer with a major label. It's kind of a dream come true - *except* for the co-worker/producer/idol you keep butting heads with.,2021-06-02,163787,Explicit,F/M,In-Progress,803,yoongi,Angst | Come Swallowing | Dirty Talk | Enemies to Lovers | Eventual Romance | Eventual Smut | Explicit Language | Explicit Sexual Content | Foreplay | Hand Jobs | OT7 | Oral Sex | Producer Reader | Sex | Slow Burn | Smut | Vaginal Fingering | Vaginal Sex,Min Yoongi | Suga/Reader,"['Angst', 'Come Swallowing', 'Dirty Talk', 'Enemies to Lovers', 'Eventual Romance', 'Eventual Smut', 'Explicit Language', 'Explicit Sexual Content', 'Foreplay', 'Hand Jobs', 'OT7', 'Oral Sex', 'Producer Reader', 'Sex', 'Slow Burn', 'Smut', 'Vaginal Fingering', 'Vaginal Sex']","['Angst', 'Come Swallowing', 'Dirty Talk', 'Enemies to Lovers', 'Eventual Romance', 'Eventual Smut', 'Explicit Language', 'Explicit Sexual Content', 'Foreplay', 'Hand Jobs', 'OT7', 'Oral Sex', 'Sex', 'Slow Burn', 'Smut', 'Vaginal Fingering', 'Vaginal Sex']",['Producer Reader'],[],['producer reader'],mono/stereo,you've got big plans for your career in the music industry - and the confidence to follow-through on them. you leap at the chance to flex your abilities and pursue your ideals as a producer with a major label. it's kind of a dream come true - *except* for the co-worker/producer/idol you keep butting heads with.,mono/stereo [SEP] you've got big plans for your career in the music industry - and the confidence to follow-through on them. you leap at the chance to flex your abilities and pursue your ideals as a producer with a major label. it's kind of a dream come true - *except* for the co-worker/producer/idol you keep butting heads with.,"angst, come swallowing, dirty talk, enemies to lovers, eventual romance, eventual smut, explicit language, explicit sexual content, foreplay, hand jobs, ot7, oral sex, sex, slow burn, smut, vaginal fingering, vaginal sex, producer reader",False,False
https://golemlab.eu/graph/8565991,Safety Pin,"With a reputation like Yoongi's, it is hard to build any kind of relationship with any kind of person. Until one person changes the way the world perceives him.",2016-11-15,37965,Mature,F/M,Completed,793,yoongi,Alternate Universe | Angst | Bad Boy Yoongi | Blood | Eventual Smut | Fluff | Fluff and Angst | Gang Violence | Gangs | Hurt/Comfort | Slow Burn | Smut | Violence,Min Yoongi | Suga/Reader,"['Alternate Universe', 'Angst', 'Bad Boy Yoongi', 'Blood', 'Eventual Smut', 'Fluff', 'Fluff and Angst', 'Gang Violence', 'Gangs', 'Hurt/Comfort', 'Slow Burn', 'Smut', 'Violence']","['Alternate Universe', 'Angst', 'Blood', 'Eventual Smut', 'Fluff', 'Fluff and Angst', 'Gang Violence', 'Gangs', 'Hurt/Comfort', 'Slow Burn', 'Smut', 'Violence']",['Bad Boy Yoongi'],[],['bad boy [MEMBER]'],safety pin,"with a reputation like [MEMBER]'s, it is hard to build any kind of relationship with any kind of person. until one person changes the way the world perceives him.","safety pin [SEP] with a reputation like [MEMBER]'s, it is hard to build any kind of relationship with any kind of person. until one person changes the way the world perceives him.","alternate universe, angst, blood, eventual smut, fluff, fluff and angst, gang violence, gangs, hurt/comfort, slow burn, smut, violence, bad boy [member]",False,False
https://golemlab.eu/graph/11919060,Written in the stars // Min Yoongi x Reader,"You meet your soulmate on a gloomy day, and contrary to his resting bitch face he turns out to be the bubbling light of your life.",2017-08-27,4555,General Audiences,F/M,Completed,692,yoongi,Alternate Universe - Soulmates | Comedy | Fluff | Romance | Romantic Comedy | Romantic Soulmates | Soulmate-Identifying Marks | Soulmates,"Min Yoongi | Suga/Reader, Min Yoongi | Suga/You","['Alternate Universe - Soulmates', 'Comedy', 'Fluff', 'Romance', 'Romantic Comedy', 'Romantic Soulmates', 'Soulmate-Identifying Marks', 'Soulmates']","['Alternate Universe - Soulmates', 'Comedy', 'Fluff', 'Romance', 'Romantic Comedy', 'Romantic Soulmates', 'Soulmate-Identifying Marks', 'Soulmates']",[],[],[],written in the stars // [MEMBER] x reader,"you meet your soulmate on a gloomy day, and contrary to his resting bitch face he turns out to be the bubbling light of your life.","written in the stars // [MEMBER] x reader [SEP] you meet your soulmate on a gloomy day, and contrary to his resting bitch face he turns out to be the bubbling light of your life.","alternate universe - soulmates, comedy, fluff, romance, romantic comedy, romantic soulmates, soulmate-identifying marks, soulmates",False,False
https://golemlab.eu/graph/13647444,wine.,He makes staying after-hours absolutely worthwhile. Yoongi x Reader,2018-02-11,26011,Explicit,F/M,Completed,670,yoongi,Alternate Universe - Restaurant | Bartender Min Yoongi | Suga | Dirty Talk | Sexting | Sexual Tension | Smut | dom!yoongi is a mood | i might have a bartender!yoongi kink tbh | i'm not even sorry | this is self-indulgent filth,Min Yoongi | Suga/Reader,"['Alternate Universe - Restaurant', 'Bartender Min Yoongi', 'Suga', 'Dirty Talk', 'Sexting', 'Sexual Tension', 'Smut', 'dom!yoongi is a mood', 'i might have a bartender!yoongi kink tbh', ""i'm not even sorry"", 'this is self-indulgent filth']","['Alternate Universe - Restaurant', 'Dirty Talk', 'Sexting', 'Sexual Tension', 'Smut']","['Bartender Min Yoongi', 'Suga']",[],"['bartender [MEMBER]', '[MEMBER]']",wine.,he makes staying after-hours absolutely worthwhile. [MEMBER] reader,wine. [SEP] he makes staying after-hours absolutely worthwhile. [MEMBER] reader,"alternate universe - restaurant, dirty talk, sexting, sexual tension, smut, bartender [member], [member]",False,False
https://golemlab.eu/graph/14312373,The Librarian,Yoongi is a librarian. You are a Ph.D candidate who spends a lot of time in the library. And you can't stop thinking about him.,2018-04-14,6642,Explicit,F/M,Completed,650,yoongi,Angst | Eventual Happy Ending | Eventual Smut | Librarian Min Yoongi | Masturbation | Oral Sex | Porn With Plot | Semi-Public Sex | Sex | Smut | Vaginal Fingering,Min Yoongi | Suga/Reader,"['Angst', 'Eventual Happy Ending', 'Eventual Smut', 'Librarian Min Yoongi', 'Masturbation', 'Oral Sex', 'Porn With Plot', 'Semi-Public Sex', 'Sex', 'Smut', 'Vaginal Fingering']","['Angst', 'Eventual Happy Ending', 'Eventual Smut', 'Masturbation', 'Oral Sex', 'Porn With Plot', 'Semi-Public Sex', 'Sex', 'Smut', 'Vaginal Fingering']",['Librarian Min Yoongi'],[],['librarian [MEMBER]'],the librarian,[MEMBER] is a librarian. you are a ph.d candidate who spends a lot of time in the library. and you can't stop thinking about him.,the librarian [SEP] [MEMBER] is a librarian. you are a ph.d candidate who spends a lot of time in the library. and you can't stop thinking about him.,"angst, eventual happy ending, eventual smut, masturbation, oral sex, porn with plot, semi-public sex, sex, smut, vaginal fingering, librarian [member]",False,False
