model_id_1,model_id_2,rating,edge_weight,resolution,algorithm_1,algorithm_2,ARI,dataset
1,2,General Audiences,1,1.0,Louvain,Leiden,0.35537832637420436,ARI Stability Results
3,4,General Audiences,1,1.5,Louvain,Leiden,0.5622322558418,ARI Stability Results
5,6,General Audiences,1,2.0,Louvain,Leiden,0.6404828817959035,ARI Stability Results
7,8,General Audiences,1,2.5,Louvain,Leiden,0.6655458764689218,ARI Stability Results
9,10,General Audiences,1,3.0,Louvain,Leiden,0.5959070995848224,ARI Stability Results
11,12,General Audiences,1,3.5,Louvain,Leiden,0.7219949992755156,ARI Stability Results
13,14,General Audiences,2,1.0,Louvain,Leiden,0.7741258291179653,ARI Stability Results
15,16,General Audiences,2,1.5,Louvain,Leiden,0.793196919870986,ARI Stability Results
17,18,General Audiences,2,2.0,Louvain,Leiden,0.8470310870123762,ARI Stability Results
19,20,General Audiences,2,2.5,Louvain,Leiden,0.878719967019783,ARI Stability Results
21,22,General Audiences,2,3.0,Louvain,Leiden,0.9092577792220339,ARI Stability Results
23,24,General Audiences,2,3.5,Louvain,Leiden,0.9533567502811456,ARI Stability Results
25,26,General Audiences,3,1.0,Louvain,Leiden,0.9215284766674772,ARI Stability Results
27,28,General Audiences,3,1.5,Louvain,Leiden,0.9739047691123716,ARI Stability Results
29,30,General Audiences,3,2.0,Louvain,Leiden,0.9384047978978366,ARI Stability Results
31,32,General Audiences,3,2.5,Louvain,Leiden,0.9386597754502481,ARI Stability Results
33,34,General Audiences,3,3.0,Louvain,Leiden,0.9742347464410945,ARI Stability Results
35,36,General Audiences,3,3.5,Louvain,Leiden,0.9884341510970731,ARI Stability Results
37,38,General Audiences,4,1.0,Louvain,Leiden,1.0,ARI Stability Results
39,40,General Audiences,4,1.5,Louvain,Leiden,0.9405049409172438,ARI Stability Results
41,42,General Audiences,4,2.0,Louvain,Leiden,0.9700777967688216,ARI Stability Results
43,44,General Audiences,4,2.5,Louvain,Leiden,0.9904469572861047,ARI Stability Results
45,46,General Audiences,4,3.0,Louvain,Leiden,1.0,ARI Stability Results
47,48,General Audiences,4,3.5,Louvain,Leiden,0.519560006922968,ARI Stability Results
49,50,General Audiences,5,1.0,Louvain,Leiden,0.5078583964920795,ARI Stability Results
51,52,General Audiences,5,1.5,Louvain,Leiden,1.0,ARI Stability Results
53,54,General Audiences,5,2.0,Louvain,Leiden,0.955717706932421,ARI Stability Results
55,56,General Audiences,5,2.5,Louvain,Leiden,0.9875855066031539,ARI Stability Results
57,58,General Audiences,5,3.0,Louvain,Leiden,1.0,ARI Stability Results
59,60,General Audiences,5,3.5,Louvain,Leiden,0.7318523919511432,ARI Stability Results
61,62,General Audiences,6,1.0,Louvain,Leiden,0.7824574997002149,ARI Stability Results
63,64,General Audiences,6,1.5,Louvain,Leiden,1.0,ARI Stability Results
65,66,General Audiences,6,2.0,Louvain,Leiden,1.0,ARI Stability Results
67,68,General Audiences,6,2.5,Louvain,Leiden,0.9911063592548167,ARI Stability Results
69,70,General Audiences,6,3.0,Louvain,Leiden,1.0,ARI Stability Results
71,72,General Audiences,6,3.5,Louvain,Leiden,0.954482446268288,ARI Stability Results
