rating,edge_weight,resolution,ARI
Explicit,1,1.0,0.4159618037277367
Explicit,1,1.5,0.41389394361734216
Explicit,1,2.0,0.4845039286354868
Explicit,1,2.5,0.571279355148768
Explicit,1,3.0,0.5445326302513228
Explicit,1,3.5,0.5591780257596226
Explicit,2,1.0,0.5815278631807494
Explicit,2,1.5,0.6435176364944436
Explicit,2,2.0,0.5286640820400605
Explicit,2,2.5,0.5659172115706514
Explicit,2,3.0,0.735019426516267
Explicit,2,3.5,0.7023649313621868
Explicit,3,1.0,0.7776975772822371
Explicit,3,1.5,0.8075865616633716
Explicit,3,2.0,0.7144073228353144
Explicit,3,2.5,0.6529471168166925
Explicit,3,3.0,0.8199280067008392
Explicit,3,3.5,0.8286972761671357
Explicit,4,1.0,0.5418705328138758
Explicit,4,1.5,0.7282966071066224
Explicit,4,2.0,0.8131249663800205
Explicit,4,2.5,0.8832343267739879
Explicit,4,3.0,0.858503673594187
Explicit,4,3.5,0.9270676451050773
Explicit,5,1.0,0.598635278309577
Explicit,5,1.5,0.8503756075919555
Explicit,5,2.0,0.8271471958220824
Explicit,5,2.5,0.8518873548468627
Explicit,5,3.0,0.8709661007983551
Explicit,5,3.5,0.878533099331841
Explicit,6,1.0,0.8782370618289109
Explicit,6,1.5,0.7129850856666211
Explicit,6,2.0,0.8589975070702441
Explicit,6,2.5,0.9497068893755789
Explicit,6,3.0,0.9261970706264089
Explicit,6,3.5,0.9137630871709478
General Audiences,1,1.0,0.35537832637420436
General Audiences,1,1.5,0.5622322558418
General Audiences,1,2.0,0.6404828817959035
General Audiences,1,2.5,0.6655458764689218
General Audiences,1,3.0,0.5959070995848224
General Audiences,1,3.5,0.7219949992755156
General Audiences,2,1.0,0.7741258291179653
General Audiences,2,1.5,0.793196919870986
General Audiences,2,2.0,0.8470310870123762
General Audiences,2,2.5,0.878719967019783
General Audiences,2,3.0,0.9092577792220339
General Audiences,2,3.5,0.9533567502811456
General Audiences,3,1.0,0.9215284766674772
General Audiences,3,1.5,0.9739047691123716
General Audiences,3,2.0,0.9384047978978366
General Audiences,3,2.5,0.9386597754502481
General Audiences,3,3.0,0.9742347464410945
General Audiences,3,3.5,0.9884341510970731
General Audiences,4,1.0,1.0
General Audiences,4,1.5,0.9405049409172438
General Audiences,4,2.0,0.9700777967688216
General Audiences,4,2.5,0.9904469572861047
General Audiences,4,3.0,1.0
General Audiences,4,3.5,0.519560006922968
General Audiences,5,1.0,0.5078583964920795
General Audiences,5,1.5,1.0
General Audiences,5,2.0,0.955717706932421
General Audiences,5,2.5,0.9875855066031539
General Audiences,5,3.0,1.0
General Audiences,5,3.5,0.7318523919511432
General Audiences,6,1.0,0.7824574997002149
General Audiences,6,1.5,1.0
General Audiences,6,2.0,1.0
General Audiences,6,2.5,0.9911063592548167
General Audiences,6,3.0,1.0
General Audiences,6,3.5,0.954482446268288
Mature,1,1.0,0.39436216409792013
Mature,1,1.5,0.3530145086682086
Mature,1,2.0,0.39435087003726765
Mature,1,2.5,0.4414496639014527
Mature,1,3.0,0.43997724754928447
Mature,1,3.5,0.4563139387243268
Mature,2,1.0,0.7750908275063778
Mature,2,1.5,0.5593916561876053
Mature,2,2.0,0.5681443119474997
Mature,2,2.5,0.6115673398316878
Mature,2,3.0,0.6718682280862288
Mature,2,3.5,0.7541923292771612
Mature,3,1.0,0.5063915716481688
Mature,3,1.5,0.6605079680785493
Mature,3,2.0,0.7219587196622098
