communities,largest,largest_pct,smallest,average,median,singleton_count,model_id,rating,algorithm,edge_weight,resolution,nodes,edges,modularity,dataset
21,172,0.20140515222482436,2,40.666666666666664,18.0,0,1,General Audiences,Louvain,1,1.0,854,6368,0.31918920759227903,Model Evaluation Results
21,223,0.2611241217798595,2,40.666666666666664,18.0,0,2,General Audiences,Leiden,1,1.0,854,6368,0.35776806506227765,Model Evaluation Results
29,127,0.148711943793911,2,29.448275862068964,14.0,0,3,General Audiences,Louvain,1,1.5,854,6368,0.3132290472149458,Model Evaluation Results
29,104,0.12177985948477751,2,29.448275862068964,27.0,0,4,General Audiences,Leiden,1,1.5,854,6368,0.3658866085689124,Model Evaluation Results
37,66,0.07728337236533958,2,23.08108108108108,23.0,0,5,General Audiences,Louvain,1,2.0,854,6368,0.2845578185003672,Model Evaluation Results
33,65,0.07611241217798595,2,25.87878787878788,29.0,0,6,General Audiences,Leiden,1,2.0,854,6368,0.3555353814455442,Model Evaluation Results
42,42,0.04918032786885246,2,20.333333333333332,20.0,0,7,General Audiences,Louvain,1,2.5,854,6368,0.2656642841377731,Model Evaluation Results
43,54,0.06323185011709602,2,19.86046511627907,20.0,0,8,General Audiences,Leiden,1,2.5,854,6368,0.33588338352803604,Model Evaluation Results
50,38,0.04449648711943794,2,17.08,16.5,0,9,General Audiences,Louvain,1,3.0,854,6368,0.25478833445780985,Model Evaluation Results
48,34,0.03981264637002342,2,17.791666666666668,19.0,0,10,General Audiences,Leiden,1,3.0,854,6368,0.32571150892259676,Model Evaluation Results
53,35,0.040983606557377046,2,16.11320754716981,16.0,0,11,General Audiences,Louvain,1,3.5,854,6368,0.24527540759910693,Model Evaluation Results
54,33,0.03864168618266979,2,15.814814814814815,16.0,0,12,General Audiences,Leiden,1,3.5,854,6368,0.32144830475003794,Model Evaluation Results
11,116,0.4027777777777778,2,26.181818181818183,5.0,0,13,General Audiences,Louvain,2,1.0,288,967,0.25851690210469114,Model Evaluation Results
11,105,0.3645833333333333,2,26.181818181818183,17.0,0,14,General Audiences,Leiden,2,1.0,288,967,0.31874933829827967,Model Evaluation Results
13,70,0.24305555555555555,2,22.153846153846153,17.0,0,15,General Audiences,Louvain,2,1.5,288,967,0.23339160963584987,Model Evaluation Results
